"","sub_id","dream","dream_report","wc","dream_happy","dream_proud","dream_amused","dream_aroused","dream_confident","dream_relaxed","dream_content","dream_comforted","dream_fearful","dream_angry","dream_nervous","dream_disgust","dream_embarrassed","dream_sad","dream_guilt","dream_bored","liwc_posemo","liwc_negemo"
"22",20,22,"I saw friends from high school",6,3,3,3,2,2,3,3,2,1,1,1,1,1,1,1,1,0,0
"23",21,24,"I only remeber one after waking up and falling back asleep once and it was me with a couple friends going to drop off a sweatshirt of my best friends that he left in my car and my other friends were getting mad at me for being friends with him",50,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,2,2,2
"24",21,25,"I was at a party and I did something to get the cops called and my dad came to help get me out of trouble but he could not. All my pledge brothers were there and seemed like they did not know what was happening.",45,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2.22,2.22
"25",21,23,"i was at the lakehouse i always went to as a kid and i got a giant tootpick stuch in my foot, and then at the hawk i had to play the music and everyone complained about my music taste",40,2,1,3,2,2,2,1,1,4,1,3,1,4,1,1,1,2.5,2.5
"26",23,26,"I was at a swimming pool at a hotel",9,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0
"27",29,27,"I dreamt a song. There were no visuals, just a song I'm not sure exists or not.",17,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,5.88,0
"28",29,29,"I thought my girlfriend was cheating on me",8,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,0,12.5
"29",29,28,"i was with my family at our house and we were riding the four wheeler and all hanging out together",20,3,3,1,3,3,3,3,3,1,1,2,1,1,1,1,1,0,0
"30",33,30,"Describing why I want to wait tell marige to have sex",11,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,0,0
"31",33,32,"I had a dream that there was a shooting where I was at.  But we were safe bc we had guns and the police were outside guarding the place.  My best friend was also there",35,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,5.71,0
"32",33,31,"Something about people eating raw flesh, I was very confused, I just know it scared me",16,1,1,1,1,1,1,1,1,4,3,3,3,1,1,1,1,0,12.5
"33",38,34,"I briefly remeber being home in my dream for break. I was very excited and happy and got to hang out with friends and family. I particularly was excited because I was home for my brothers first basketball game.",39,4,4,4,3,2,3,3,3,1,1,1,1,1,1,1,1,7.69,0
"34",38,33,"I was at a movie theater before class, just waiting in the lobby before leaving. Then a new Wonder Woman movie came out so I skipped class to go see it",31,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,0,0
"35",41,35,"I was fighting with my boyfriend because we were fighting when I went to sleep",15,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,3,0,13.33
"36",45,36,"Failed my finals",3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,0,33.33
"37",45,37,"I was in a building and Les Miles walked and everyone got very excited and said hi.",17,4,2,4,4,1,1,1,2,1,1,1,1,1,1,1,1,5.88,0
"38",45,39,"I was with my cheer team from high school and we were at a competition.",15,3,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,6.67,0
"39",45,38,"I woke up and pulled my covers away and there were two bunnies and a rat in my bed under sheets",21,1,1,1,1,1,1,1,1,4,2,2,4,1,1,1,1,0,0
"40",46,40,"I was in a house with lots of people and there was a person trying to murder one of the people.",21,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,4.76
"41",48,41,"My ex-boyfriend tried to get back together.",7,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,3,0,0
"42",51,42,"I was traveling home for thanksgiving and I ended up buying a new car for myself on the road in some small town.",23,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,0
"43",55,44,"I dreamt I was going to school in California",9,3,2,1,2,1,3,3,1,1,1,2,1,1,1,1,1,0,0
"44",55,43,"I was Batman. My friend and I were in the wilderness and we had coordinates like the video game Minecraft. We were using them to find each other. When we did, we also found the Mayor, who was serving breakfast to these 2 teenage boys. They were complaining about me (Batman) because I guess Batman broke one of the teenager's legs once when he was trying to rob a store. That's all I remember",74,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,0,2.7
"45",56,46,"I was hanging out with a friend and we were in my hometown driving around.",15,3,3,2,1,3,4,4,3,1,1,1,1,1,1,1,1,0,0
"46",56,45,"My girlfriend was FaceTiming someone else",6,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,0,0
"47",64,47,"I was on Snapchat and my girlfriend was smoking a cigar but I was with my room mates and for some reason they were smoking too.",26,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0
