id,text
28,"I have a vivid dream every couple of weeks about tornadoes, specifically about hiding from them. The most recent took place in a school where every wall had a window so there was no where to really hide. Me and a group of other girls had to find our way to the gym, the only place in the school with no windows. The problem was that we had to go through a big door, then a tiny hole in the wall to get in. We barely made it because we kept having to stop and drop for cover because there were at least three tornadoes. In the dream I was very anxious that I wouldn't make it into the gym in time. I was also stressed because no one was taking the tornado seriously, and I was the only one hiding, everyone else was just going on as if it were a pointless drill. The interesting part about these dreams is that I'm from Colorado, where we never have tornadoes."
29,"It was a nightmare that I was being kidnapped, I remember looking into the mirror of a run down bathroom and my face being especially my eye being black and blue. I ran out side of the building and remember the feeling of like wind on my face but always feeling like someone was behind me. The dream repeated twice until I was hidden on an airplane and then guy who was trying to find me ended up falling out of the airplane and I woke up."
34,"First person POV, on a date with the person I like. I felt really happy. I could hear just normal background noises as if it was real life."
35,"I had a dream recently that stuck with me. It started with me sitting in a classroom, waiting for my grade on a big exam. When the paper came back, 'F' was written across the top in red. My chest sank, and it felt like everyone else in the room knew I had failed too, even though no one said anything.
The scene shifted, and suddenly I was walking outside, but the world felt heavier than usual. It was cloudy and damp, like it had just rained. My shoes splashed in puddles as I walked, but I didn’t have anywhere to go. In the dream, failing that class meant I had dropped out completely, and I knew I hadn’t passed my OAT either to get into Optometry school.

Eventually I ended up sitting on a curb in the city. Cars and people moved around me, but it was like I wasn’t really there, no one noticed me. I felt empty, like I had lost everything I had worked for. The whole dream stayed in first person, so it really felt like I was living through it.

The strongest part wasn’t the images but the feelings: shame, fear, and a sense of being stuck with no way forward. When I woke up, I still carried that heavy, unsettled feeling for a while."
37,"My dream was in first person view. My two friends and I were at a house but there was a smaller house across the woods where we had to keep our clothes. I remember we walked through the woods and went to the smaller house so we could get our clothes, but when we got there we realized something was wrong with the house. We felt unsettled and I woke up before I could find out what was wrong."
40,"I had a dream where I was with my friends playing pickleball. I remember it in first person, as if I was really standing on the court holding the paddle in my hand. The court was outside, and the ground was a faded green with white lines that almost glowed under the bright afternoon sun. I could feel the paddle’s rough grip against my palm and hear the sharp pop each time the plastic ball hit it.

My friends were laughing and cheering, and their voices echoed in the open air. The smell of freshly cut grass carried on a light breeze, mixing with the faint rubbery scent of the pickleball itself. I could see my best friend across the net, smiling as they served the ball with a quick flick of their wrist. The yellow ball spun in the air, and I felt a rush of energy as I stepped forward to return it.

The dream felt light and fun—almost like time slowed down so we could enjoy it longer. Even though it was competitive, there was no stress, only excitement. I felt connected to my friends, as if we were all on the same team even though we were playing against each other. The emotions were a mix of joy, focus, and pure enjoyment.

When I woke up, I realized that the dream showed me how much I value spending time with my friends and how sports bring us closer together."
43,I forgot to turn in an assignment and nothing was letting me submit so I felt really stressed out and anxious.
45,"I got into a car accident years ago with an ex-boyfriend and got PTSD from it. In the dream, I am riding in a car with my sister, her boyfriend, and that ex-boyfriend, and we are driving around my grandparents' lake house (windy roads surrounded by trees). We are having a good time. I cannot remember what happened next, but suddenly we are in the water with the car, but not sinking, and I can see the car I wrecked also in the water, but further away, and also not sinking. This is a recurring dream."
46,A recent dream I had is a dream about me and friend getting in an argument and people from my family showed up.
47,"The point of view is first person. I was from a different planet that was purple and orange. This planet was dying, being attacked by giant grub worms, and going into a black hole. I had a twin brother (13 years old), who had brown hair. We had a dog. Both me and my twin brother had the ability to fly, turn invisible, and fire powers. Our parents wanted to save us from our dying planet so they sent us to live with our grandparents on Earth. We were very sad about leaving our parents, but knew it was the best for our safety. We were sent via spaceship and landed on a playground on Earth that our grandparents live close to. None of the kids on the playground reacted when our spaceship landed on their play set. Our grandparents arrived at the park to pick us up and warned us that the Grinch lives on Earth and that his only mission is to find us and kill us. So our job is to blend in with all the other kids and pretend to be normal. However, at school one day, a group of kids see me and my brother turn invisible. So we have to tell them our backstory and they agree to help protect us from the Grinch. On the last day of school, it is dark and stormy. Me and my brother are the only two kids in this specific classroom. We hear a creepy laugh coming from outside of the classroom door and it opens. The Grinch, with a Christmas hat, stands in the door way and says, ""I'm gonna get you!"" The end. I was very scared at the end of this dream. I woke up at the very end out of fear. However, it was a very enjoyable and long dream to be a part of."
48,"First person dream of spotted lanternflies, an invasive bug, invading Lawrence. Except some of them were cybernetic and gigantic. Then for some reason they had a form of cordyceps and so we all hunkered down in the pretzel factory on the edge of town. Then my dream got interrupted and I was remembering details about protocols for my bacterial genetics class, unrelated. I remember being scared of what the bugs would do to the landscape but I had a flamethrower so it wasn't too bad and was more amusing than anything else. It was sort of the vibe of Fallout New Vegas or The Day After or Starship Troopers. I'm infamous for not being scared of bugs so it was more so about how destructive they were to the city."
49,"I was kidnapped, i remember looking at myself in the mirror almost black and blue like i had been beaten up. I kept running away but then it was like i would wake up and be back in that bathroom looking at myself again black and blue. It went like that until i ran away for the third time and then i somehow ended up on a plane and the guy who was chasing me fell out of the plane. I woke up finally but I felt like I was falling."
52,"I was on a sidewalk, winding down a steep hill lined with trees. I was laying on the ground with my comforter from my bed wrapped around me, trying to nap. Eventually I was unsuccessful and got up, walking back up the hill with my comforter in hand. A man approached me and grabbed the comforter from my arms. I cared lots about it, so I grabbed it back and pulled at it against him. I tried to scream for help but was unable. My voice hurt and I struggled to communicate anything. I was stressed, upset, and speechless. I woke up immediately after being unable to scream and was anxious."
54,"I had a dream someone I used to be really close to was trying to connect and catch up late at night during a camping trip. The people in my life currently who I'm close to were also in my dream and it was a continuous back and forth of seeing the old friendships/relationships and the new friendships/relationships. It was first person, and everyone looked exactly how they would in reality. I felt sad, but happy to see some of them. I felt like I missed them."
55,"In this dream I start off in my old house in nebraska and then me and my uncle go outside and there is a woodsy area and out comes a wolf, wolves are now chasing us back to my house, we end up going into the house and close the door. By the garage door there is my pantry and my uncle starts getting a snack out of the pantry and while he is doing that the wolves broke through and start eating me while my uncle eats snacks in the pantry. This is in 3rd person I belive and I was really scared."
56,I had a dream I was watching this baby that was the cutest baby I have ever seen. It wasn't mine but when I went to take a picture of the baby it turned into a toddler through the camera lens. It was weird but I do remember how cute it was.
58,The last dream that I can recall was just the other night I for some reason was laying with my boyfriends best friend rather than my boyfriend and the best friend started trying to do stuff with me so I got up really fast and laid with my boyfriend because I obviously didn't want someone else touching me and I was  really apologetic to my boyfriend because what the heck was I doing laying with his best friend. I would never do that in real life so it was a really weird feeling of guilt that didn't really happen.
59,"I had a dream that my roommate was in an insane asylum and her mom put her in there. We all went and visited her. It was dark and had one open room almost like a library. The rest of my roommates were with us. It was in first person. I felt happy seeing her, but sad that she was in there. I was mad at her mom for putting her in there."
60,I was walking home from the bars with a group of friends and then a van cornered us so we ran in other direction but car blocked that too and they took us in the van and had us work and give us a drug so nobody remembered where we came from besides me and they worked as mindless robots but I got out
61,"I was in my backyard setting up for a wedding. It was a warm and sunny day. I saw my mom, sister, and celebrity Chris Briney. I was in first person view. As I was setting up for the wedding Chris was upset because it was his wedding and nerves were getting to him. I told my mom about what I saw and she stopped the wedding. I felt nervous and anxious about the wedding."
68,"My dream was that I was having a sleepover at my boyfriend's house. I was very excited because we do long-distance, but all of his college friends were over, which I did not know about, and caused me to get angry. I was lying in his bed waiting for him to come into the room so we could go to sleep, but instead, he kept hanging out with his friends and ignoring that I was there. They were all playing video games in the living room while I was on my phone. My point of view was first person the entire time. Feeling ignored caused me to become very sad, upset, and annoyed. Eventually he came into his room and asked why I was upset and I said ""you act like im not even hear, you are always going to prioritize them""."
78,"I had a dream the frontal halves of my two front teeth fell out and revealed a bunch of pores within my teeth. I don't remember the setting I was in, but I do remember I was doing something normal when my teeth fell out all of a sudden. It felt extremely weird, even worse when I saw the state of my teeth. I started stressing and freaking out because I take pride in my teeth and oral health in general and my teeth just fell out. I wouldn't say I have trypophobia, but in this dream I did. I remember I could feel the pores within my teeth too, and I hated the feeling. I was squirming and trying to figure out how to fix my teeth. Then I woke up and felt weird."
84,"In my dream it was first-person point of view and I was on KU campus on the small parking lot outside of the north Stouffer dorm building. It was a sunny day that had spring vibes because the weather felt fresh not hot and the grass around the lot was fresh and green and it felt great in the dream I thought it was a nice day out. I was walking to my car a navy-blue BMW sedan that was parked 3 cars away on the furthest left column while holding an envelope, thinking about the tag I needed to put on my car. My mom was standing next to my car when I got there towards the license plate she had her curly hair in the bun with a neutral expression and was wearing a gray t-shirt, black shorts, and her black heydudes. Once I got there I talked and joked with my mom while opening the envelope, the words were more like how the adults in peanuts sound but I was very happy to see her and talk with her. In the envelope was my car tag sticker for the year on a white sticker sheet, it was bright orange with random letters as the date my mom helped me put the sticker over the expired one that said September 30 2025. Once the task was completed I felt relieved and the dream ended by my view dissolving into black and me waking up still feeling the same way."
91,It was in first person and it was my birthday. I woke up and went down stairs and my mom told me happy birthday. I went on my phone to see if I had gotten any messages from my friends or family but there was none. Turns out that everyone forgot my birthday and i woke up feeling sad.
93,My college roommate and I went shopping at a thrift store.
96,"What happened was, i was in my house that i currently live in on campus and i was walking up to my door when this deranged man approached me really fast. I remember being really uneasy about it and like i was running out of time to open the door. This was all in first person but then kind of switched to third person. It was a sunny day and the trees were swaying. So anyways, I was on my porch about to open the door when he showed up and then he started asking me a bunch of questions to which i cant remember but i do rememeber looking directly at his face and noticing that his pupils were super dialated and that he was probably on something. And thats when i started feeling even more uneasy. all of a sudden this little girl and boy appear next to him asking if i needed help in a non discreet way and so i whispered to them to call 911 and they did but the man saw what i was trying to tell them i guess and then he attacked me. I have never been more scared in my life then at that point in the dream. He managed to tackle me through the front door and basically harassed me and some other stuff that i dont want to talk about. The cops finally arrived and my family was there some how and so i started to feel less uneasy but then they barely did anything to help me and then i woke up."
97,The latest dream that I experienced was my boyfriend cheating on me. I don't remember exactly what it was like; I just remember feeling very upset and hurt. I had a pit in my stomach and felt almost nauseous.
102,"There was a massive spider in my shower and it was as big as me when i got close to it but when i stepped back it was regular size. I was trying to kill it but it wouldn't go away, and eventually when i tried to kill it when it was small it lunged at me and i ended up waking up and jumping back because it was so vivid i thought it did lunge at me."
107,"I was with my boyfriend, and we were in a room just making TikToks. I remember one we made where I pressed the button to start the video, and we went far back and showed our outfits. I showed my first, and then he showed his, and then we hugged at the end. The video only lasted a couple of seconds, but it was very fun. were just enjoying each other's company, and I felt so happy."
108,"I had a dream that took place on the beach with my ex boyfriends mom. We were celebrating something because there was party decor everywhere, but I am not sure what. My mom was there too and was in the kitchen working on the food. All my brothers were there playing football too. We were talking and all catching up until a big storm hit the house. There was lots of commotion, and then we all disappeared."
110,"I recently had a horrible dream where I experienced sleep paralysis. In this, I could not move at all or scream or yell no matter how hard I tried to, the only thing I could do was look around my room. The room was pretty much pitch black with the only light being the dim moonlight shining through the window directly to my left. My room is a square layout with 4 walls, and when you walk in through the door, my bed in the top right corner, my dressers and guitars are in the top left corner, and then my closet, tv and night stand are on the middle of the wall where the door is when you walk in. I was on my bed in the top right corner, laying there paralyzed, and trying to scream as I felt the most intense fear I have ever felt in my life. It was an extremely surreal yet confusing feeling, and there was a very tall shadow figure standing right in front of me on the bottom right corner of the room. The shadow figure had no distinct facial features or anything, just a 9 foot tall shadow standing there and staring at me. After about 2 minutes of this which felt like forever, I suddenly regained my sense of movement and woke up in an absolute panic."
111,"I had a dream that I was working for a Christian organization that was analyzing how people functioned in society based off of what brought them the most purpose in life. These religious researchers had concluded that everyone felt the need to have some other life form rely on them for life. Some of the things people chose to place their value in taking care of were: children, plants, animals, society. I felt confused by this information. I was taken through houses that represented how the different lifestyles of people lived. In this dream I was touring the buildings with a middle-aged, white bald man that I know from my workplace, and my friend's brother who I supposedly was dating. During the dream I felt like the researchers were crazy and I was judging them."
112,I had a dream about a man breaking into my house
113,A man broke into my house and tried to kill me
115,"I was sitting in a diner. I was in a booth with bright red plastic benches. In front of me was a guy from my work whom I also had a crush on. We were having a conversation when all of a sudden he got up and walked through the double doors to the kitchen. I remember being able to see his head through the circular windows walking away. I was waiting, but he never came back. Eventually, a group walked in, and 2 guys sat in front of me, taking up the space the original guy was in. The diner was full, and it was no other seats. One of them was studying from his religious studies class and ended up asking me for help. I remember feeling better around this guy than the original guy. Then I woke up."
117,"The last dream I remember was about a close friend from my home town. It was kind of a weird dream... Basically, I was going to the bathroom in a public restroom and I remember looking through the crack of the stall and seeing my good friend. I remember feeling very excited when she noticed me as well, but for some reason we could not speak to each other. She waved at me and I smiled. I think during the dream I thought it was rush week, and this friend is a year older then me, therefore she was already in a sorority and could not talk to me because of ""dirty rushing""."
118,"I am at home, but my house is in the forest surrounded by deer and a river. The deer are drinking water from the river, and there are a lot of flowers around that I could smell in the dream. I feel calm and happy during this dream. There are also butterflies on every single flower that surrounds the river. All I do in this dream is just sit on the porch and watch the deer and take in the view. It is a perfect day and it is very sunny. I am the only one in the dream, and I am seeing this like I am actually in the forest. I feel very happy and not stressed in this dream."
124,"It was a dream about how I captured a cockroach and give it a piece of fish to see if it would grow. It ended up growing too much and I had to put it into a Tupperware container, and it expanded and eventually exploded out a bunch of maggots all over the yard. I had to end up trying to avoid them and trying to get rid of them. Then I woke up. It was pretty scary and intense."
125,"Going to a football game with my girlfriend, not being allowed in, it smelled like popcorn and burgers, then going home and watching movies."
129,"First-person dream following my own perspective. I was coming home to a party at my boyfriend's (Sebastian) apartment. Three friends were already there, and Sebastian was not there yet. The three friends, Kennedy, Vicki, and Hannah, helped me pick out an outfit for the party, and it was a navy midi dress with ruffles. We all got ready together, doing our make-up, hair, and other pre-party activities, such as sipping a glass of white wine. Sebastian arrived home from work, wearing his police uniform. We went into the bedroom, and my friends left to decorate the apartment. In the bedroom, he got ready for the party, and we had some alone time before a lot of people came. When we were both ready, we walked out of his bedroom, and the apartment was beautifully decorated, and there was fancy sushi on the table for everyone to snack on. But the sushi was abnormally large. We played lavish games and drank prosecco, and I remember a lot of laughter and just a content and joyful feeling. And I woke up after that."
140,I had a cool dream where I was walking on a hiking trail with my family and it was like a nice rainy day.  As we were walking we say a few deer and and watched them and it was super cool adn we were all excited and happy.  Then soon after I woke up.
141,"I had a dream that I was at my neighbor's house across the street, and they had like 100 TVs all over their living room to watch football. There were at least 6 people there, and all were in football attire. I was viewing the dream in first person and sitting on the floor of their living room for a few hours."
144,"I was showering in the bathroom of my childhood bedroom, I thought I saw something but brushed it off and stepped out of the shower. I then looked back inside of the shower and saw a man holding onto my shower head with his chest against the wall looking back at me. He stepped out of the shower and I was just standing there screaming help me over and over again while he laughed at me and just stared at me (he was then facing me). I than was downstairs in my dads office yelling at my father because he did not come and help me when I was yelling. I felt hopeless and mad. The man than walked down the stairs by my dads office and was tip toeing (even though it was the middle of the day and we could see him) and than I just got really confused."
145,"I recently had a vivid and unsettling dream. At first, everything felt normal and cheerful. I am working on a biology assignment that required me to find a remote location in the forest. The place was described in a photo, a cave entrance marked by two bear statues. All I had to do was take a picture there as proof.

When I arrived, the atmosphere suddenly became gloomy and heavy. I found the cave and took a quick photo, but then I noticed a group of suspicious people inside. Instead of leaving, I felt a strange pull to step closer and see what was happening. To my horror, I realized they were part of a human trafficking group. My heart pounded, and fear rushed through me. I tried to quietly back away, but they saw me.

I ran as fast as I could, jumped into a passing vehicle, and called the police. I remember feeling a mix of panic and determination. The dream ended vaguely, but I think the authorities caught them. When I woke up, I still felt uneasy, it was both realistic and terrifying."
147,"I had a dream I was sitting in a cottage looking house in a kitchen with baby blue walls and an island table with the actors from the Gilmore Girls, and we were sitting around the table, and I was trying to explain to them why I didn't like the show. I was in first person the whole time; it seemed very real. In the dream, I was trying to tell them why I didn't like the show without offending the actors because, for some reason, I felt like they were both the actors and characters from the show, and I felt really bad because I didn't want to hurt their feelings."
148,It was a first person point of view and what happened is I was with a group of my friends and this guy that I am friends with in real life was in it but the thing is there was heavy flirtation between him and I and the interesting thing is that in real life I have heard from others friends that he may have feelings for me but basically we were at a kitchen counter and he came up behind me and gave me an intimate hug and we just looked at each other and then I woke up. I felt flustered but happy overall
159,"I had a dream I was kidnapped, and lots of other people were too it was in a weird house with this super closed off stair case and a banister on the second floor where you could see outside on the street and neighborhood. One person I remember was a middle-aged blonde woman and some other people of all ethnicity and ages. I established a relationship with the kidnapper and sort of fell in love with him. I didn't feel scared at all until the people found a way out of the house, and he snapped and jumped through the window and landed face down on the street I thought he was dead I ran outside to see, and then he stood up and had a gun my heart dropped I was scared I tried to run but my legs wouldn't move. I woke up"
160,Last night I had a dream I was with my hometown friends in a familiar place but I can't remember why it's familiar. I felt happy and relieved that we were all together again. I can't remeber what we were doing but I remember everyone laughing and talking about plans we had coming up.
161,"I was with all 4 of my friends, and we were driving on this dirt road with no lights, when all of a sudden, people started following us. I was extremely scared and was worried something would happen to me or my friends, and there was nothing I could do about it. It was in 3rd person, it was like I was seeing it from a bird's eye view."
165,"It was a nice somewhat sunny day outside and I was about to head to my college class when I somehow got information about my dad passing and in the moment I remember being upset and maybe even shedding a tear but I kept on my day. I knew I had to just make it through my one class I had and then when I got home I could break down and cry. Next thing I know I’m in my classroom and still thinking about how my dad had passed but then the class is over and everyone had left except for one girl who seemed hesitant to come up to me. I was still sitting down and then I was confused on why this girl who looked Hispanic with pin straight long black hair was walking up to me. She just came up to me and asked “Can I pray for you?” I was so confused and saddened because she had no idea who I was and had no idea my dad had passed. I didn’t think I gave off any indication that I was upset or look than I normally had in that class. Immediately after she asked me if she could pray for me I shook my head yeah and began to cry so hard, bawl even. I could feel how strong the emotion was that my head began to hurt a little. I remember thinking that it was crazy how this random girl had the urge to come pray for me specifically even though we didn’t know each other at all. I ended up waking up and had realized I actually had been bawling my eyes out and my nose even began to run. I of course in the dream was upset that my dad had passed away but it was really the fact of how I felt it was God showing me he was there for me at that time, even though my dad hadn’t passed away in reality. Like I had realized God worked through someone else to get to me or show he’s there for me in hard times. I feel like the reason why I started crying was because I felt reassurance from God that everything was going to be alright. Most of the dream happened in first person but whenever I teared up in the beginning of the dream it was a quick third person view so I could see myself but then I went back to first person. Later when the random girl put her hand on my head it went back the third person for a brief second."
171,I was in a school area as if I were at campus but it wasn't necessarily this specific campus. I was just walking around and then I went to go hang out with a friend. In my point of view everything happened as if I was there when it happened. I didn't really feel anything.
179,I really wanted a sign from my grandmother who passed away a year ago. She came to me in my dream. I was really nervous about a speech I was presenting to my class and then I had a dream about. In my dream I'm about to present and I forget everything I'm supposed to say. Then I see my grandma in the audience and suddenly remember everything. I'm really glad I got a sign from her and it felt good to know that she is still here for me even though she's in heaven now.
190,My dream was that my boyfriend was talking to other girls more than me and was ignoring me to talk to them. It made me very frustrated at him in my dream and I woke up for 1 second and was mad but he was actually just sleeping next to me and I realized that it wasn’t real. I just remember being so mad
195,"I was in a scene of the movie Coraline. We were in the house and the items came alive, and a cat was biting my hand. it was in first person. I felt happy and excited."
206,"I was in my room. The environment was quite tense and slightly uneasy because of a girl I was with. I thought we were just friends, but looking back, it's difficult to define our relationship. Regardless of our relationship title, we both loved and cared for each other. Her and I felt comfortable around each other. But we were arguing. Nothing crazy; speaking quietly and not yelling, though I was growing frustrated, annoyed, and anxious. I could feel my heart burning in my throat. I felt myself growing emotionally angry as I was passionate about whatever matter we were talking about. I was sitting at the foot of my bed and she was laying horizontally on the bed, as one typically does. Her laying down also made me more upset because I felt dismissed. Almost as if what I was saying was not important to her at all. That also increased my frustration. And she kept trying to calm me down because she could see my frustration growing. Then, mid tangent/rant/etc., she kissed me in my mouth. It was almost like an apology. Understandably, she felt bad. But after that, it wasn't just a kiss, it turned into a full makeout session. I remember being initially uncomfortable and afraid if someone was to walk into this one bedroom studio apartment; afraid someone was looking through the two windows that lined the corners of my room. Unbearably afraid and ashamed. I don't like women/girls in that way. I am sexually attracted to men. I couldn't help but be ashamed of myself. In my mind, I thought about how I was letting my family down by partaking in this, though I didn't even initiate it. I remember initially, after the first kiss, I was shocked. But after that initial shock, I closed my eyes and pressed in. It was something that in my head I knew was wrong, but in my heart it felt so good. So we continued. My heart rate was intensifying. I could feel myself yearning, almost like this was a part of myself I had silenced for so long that was awaiting to be freed and released. I was overindulgent. I lost it and I went crazy. Things escalated rather rapidly and we were about to do the deed. It was at that point that I had a moment of realization. I took a step back and thought about the fact that I don't like girls. The fact that I have a boyfriend. The fact that I've never had sex, let alone with a woman. I recognized I didn't know how to, and it hurt me to know that somewhere within me, that's what I wanted. I remember after that moment and during that moment, I felt fulfilled. Bonded to this girl, connected even. I felt free almost. Though that made no sense, as I felt so secretive and sneaky. Like I had to hide this. This confused me; how could something truly be freeing if I felt like I had to hide it from everything and everyone. I was confused. My feelings were array. Then, I woke up, still feeling aroused, yet so ashamed."
210,"First person. It was in a sort of mini auditorium (fold down, blue fabric classroom type chairs) in the corner of a building entrance with a lot of rooms next to it. Very bright and airy. I was in one of the adjoining rooms, which was empty but beige and classroom-like with the block walls and stubbly ceiling but there were windows facing the entrance/auditorium area, and I was on a phone interview. The interviewer sounded pretty bored and flat when asking me the questions, so I thought I was doing a bad job, however at the very end she (in the same tone) told me I was pretty much guaranteed the job. I don't remember what type of job it was, but I think it had something to do with being an assistant in some sort of medical practice. I ended the phone call happily, but for some reason decided to call back and ask questions. A different lady answered, and she sounded much more hostile. When I asked her questions about the job, she told me that she didn't know what I was talking about however referenced my application many times and told me it was awful and she didn't know why I was assuming that I had gotten the job when it wasn't official yet. I eventually hung up and felt really upset, but went to the auditorium area to try and calm down and find something to do. I saw my best friend there, but she didn't acknowledge me very much when I approached. Something happened in between but I forgot. Some sort of presentation begins to happen on stage, and when I approach my friend again to sit down next to her she claims, in a very standoffish tone, that all the chairs in her row are saved for other people, even though only about half of them were filled up. I'm obviously hurt by this but trying not to act like it, so I just decided to leave and not watch the presentation. As I'm leaving, she comes up to me to ask if I was upset, to which I responded that I was fine. She doesn't believe me, and told me that we could hang out after the presentation, but I felt hurt and didn't really want to, even though I said that we could hang out afterwards. As I walk further into the entrance room (away from the stage), the woman on stage starts to speak very oddly and almost cult-like about things that she hates. I realize after listening for a bit that it's the same lady that I spoke with on the phone the second time. She looked like a regular middle aged woman, but the way she moved and spoke felt oddly unhinged and threatening. She would say that she hated something, and then all of the crowd in the chairs would repeat after her that ""we"" hate that thing. It was a lot of random things, like dogs or chairs(? for some reason). Eventually, during this routine that I'm watching in sort of fascination, she looks directly at me and points, chanting the same ""we hate"" speech with my full name. The crowd turns to look at me and does the same thing. It's a small crowd and none of them came towards me, but I felt physically threatened and scared by this. It all felt very cult-ish. I don't remember what happened afterwards, but I think I woke up soon after."
213,"I was sitting on the edge of a cliff looking down on a town that was big but looked little. I had a massive pencil or stick and I would draw the town into creation. Every time I would make something and no matter what I tried to make it would come out a different color or slightly different shape than I wanted it too. I kept drawing just to draw something how I imagined it and when I looked up I was in my dorm room, then I woke up"
215,After my grandfather died i had a dream that someone in my family died and i woke up at 4:55am. Had the same exact dream the next night and woke up at 4:55am.
219,It was a nightmare that i have sometimes that changes ever so slightly. I wake up in my room with a snake in my bed and when it comes close to me it explodes into thousands of spiders then i will wake up.
220,I was in a color war between all the different colors and people were attacking others with pool noodles of their color. then at the end of the war there was this giant old house that was like a haunted house. we had to go through it and it was falling apart and there were also giant pink portals that we couldn't fall into. then we played hide and seek with a giant one eyed monster. there was the timer from my jiu-jitsu gym that counted down from 5 minutes which was how long we had to survive the hide and seek. there was a black and while dalmation that almost gave me away but he didnt. then at the end my uncle and aunt and cousin were there to celebrate us surviving with a delicious vanilla cake.
221,"It was all first person. It was hard to distinguish that it was a dream due to that factor. It took place in my dorm and on campus. All the locations were accurate to how they are in real life. My dorm had my desk with funko pops, my computer, and lego flower as well as all my posters on the wall. All the campus buildings involved seemed normal, the primary one was Wescoe hall. The dream was simple, but uncomfortable. I checked my canvas account and realized I had been enrolled in an art class: an art class I had never attended because I didn't realize that I was enrolled in it. I started to panic in my room trying to remember how I got enrolled in this class and if I had actually been taking it. Fear set in as if I had missed every class for a half of a semester, then I would definitely face repercussions. I changed in a hurry in my dorm, the world spinning around me, and then ran to Wescoe. That is where the dream ended. It was very realistic and felt like a boarder between dream and reality. I woke up thinking I took an art class."
222,"I had a dream the other night where I was at my boyfriend's house late at night and we were watching some TV show. I got a call that my mom had gotten into a terrible accident and that they didn't know if she was going to make it. I remember not being able to breathe and falling to the floor. Then the dream kind of skipped forward to me living life normally then randomly having trouble breathing thinking about my mom, but at that point no one seemed to understand or care. It was a terrible dream and I felt like my world was falling apart, I remember waking up sweating. I only remember parts and how it didn't all really make sense, but it was bad. It was in first-person the whole time."
225,It was frazy I thought i was on a trip
227,"I was in a dorm, and we had turned two lofted beds into one by pushing them together. My friend and I woke up in the dream, and their roommate had come home early and found their room completely rearranged. Their bed was NOW ATTACHED TO my friend's, and they were very confused."
228,"I only remember a small part of my dream, but I was eating dinner with my ex boyfriend at a restaurant that looked familiar; however, I could not remember the name of it when I woke up. It was a very short dream of us talking at dinner at a two person table."
229,"I was at the Emporia Zoo with my boyfriend, he's tall, brunette, and has blue eyes, and he was wearing a black shirt and shorts. I was wearing a yellow sweater and jean shorts with my hair curled, and he proposed to me at the zoo and we automatically got married there. However, another couple got married at the same exact time as us and my whole family was around and then it ended. I was very happy in my dream, but felt a little weirded out since another couple was getting married right next to us."
235,"In my recent memorable dream, my mom had a newborn baby which was very weird because my dad cant have kids anymore. My parents last kid is 9 years old, so my mom was spending a lot of time focusing on this baby and not her other kids since they were all old enough to take care of themselves. She was telling me how she felt bad for Evie (the 9 year old). She let me see the baby for a little and during that one of our friends Marcy came over and hung out with us. I was very confused by the dream because my parents cant have kids together."
236,I keep having dreams of my Ex boyfriend. We broke up 5 months ago. I had a dream that was first person and we were on some vacation. I remember feeling super upset and sad. I walked into a room and he was with a random girl from my high school cheating on me.
