unique_id,dreams
452L,"I was at a resort for an anniversery celebration (I have worked in YNP three summers) When I went to get my cut of prime rib someone with higher status stepped in and took it.  The next piece wasn't cooked just as I liked it but asked for that.  Then as luck would have it I had to go to the bathroom.  When I got to the nearest bathroom, it was broken.  We were sent to one that was very busy.  I was deciding what to do when I woke up.  I also had a stint when I was concerned about remembering what I dreamed about to report back to you."
296L,"Only ones I remember.    Spending time alone in a cheese shop, and then in an indoor farmers market (from Barcelona)"
453L,"Mall in (probably Taipei?) with a target, with a connected tower, that had two elevators crash into one another. Woke up thinking how could that happen?    Short dream about the Simpson's, Lisa had a fever.    Walking alone on the bikepath on a beautiful day."
743L,"Don't recall content, just remember waking up thinking it was a nice dream."
1078L,"Cooking soup of all things, two huge soup pots"
14102L,Singing jazz duet (Black and Blue).    Reverse whitesplaining translator. (Ala Key&Peele anger translator bit.)    Translating so as not to trigger fragility.
14856L,Nightmares about losing my neck gaiter.
16168L,"Poker with friends at a friend's house. First time since Covid-19.    (We are a LONG way from poker again.)    I was banker, ala Monopoly. (No such thing for nickel/dime poker.) I kept screwing things up."
117L,"My mom and I were trying to fly somewhere. We were on the plane with a lot of people, but we got off because there was still a long time before the plane was to take off. We walked down many stories of the airport looking for some food. I was thirsty but didn't want to drink out of a water fountain because of the virus. When we thought it was time to turn around and get back to our flight, we were really far away. We ended up driving there with my stepdad, but we couldn't find the correct terminal for our flight and we just kept getting out and asking people who couldn't help us."
3690L,"It was a 9-11 situation. We were outside in a big city and we saw these huge blimp-like airplanes careening down to the ground. We saw one, then another. In total there were a few. That's all I remember."
128L,"We were in my parent's home with my entire extended family as well as my interns from work/partners at work. It seemed to be a holiday and we were hosting everyone at the same time. My dead uncle was in attendance as well, as a corpse. His wife asked me for a glass of water for him."
309L,My husband fell in love with someone from the bachelor instead of me
18097L,Can't remember now but it was wild
12904L,"I dreamed that our neighbors adjusted the fence between our backyards so that they could easily see into our yard, and took entire sections of the fence out so that our dog was no longer contained in our back yard and when dogs came to visit their yard they would bug our dog."
13316L,"I was in Tanzania (I spent a semester there in undergrad) with some friends and my family. On the last day, I decided I wanted to take a boat out to Dar Es Salaam which was on an island in this dream. My husband and I went and checked out the night market. There was also a fair trade store that I checked out with my parents and sisters. When we reunited with the group, my friend who did a few years of service in Tanzania mentioned that she would not have gone out to the island like we did."
16661L,"I was living in a tent with my family. It seemed like a different time in history like the Oregon trail or something. One of my one of the people we lived with decided that they were going to move because there was some sort of conflict with another person in the area. While we all agreed to move for them, it was such short notice to get everything packed up and on the road. There was added tension when the person that there was conflict with started approaching so the family member who decided to move just went ahead without us and said they would meet us up ahead."
348L,Mike Bloomberg was my high school math teacher.
13377L,I was flying somewhere for work but realized I had messed up the flight bookings and wouldn't arrive to my destination on time
16996L,Had a dream that my neighbor's house was on fire
336L,Some sort of team rally race with obstacles while waiting in line for a concert
447L,Being pursued by foot through a city. Don't recall by whom. Affect more fun/exhilarating than fearful. Was leaving some school graduation when the chase began
20814L,"Was making a trip and could not figure out what to pack. Ended up in a McDonalds department store with Will Ferrell who was making fun of people working there, who were guys I went to high school with"
12341L,Work related dreams. Do not remember details
15041L,My roommate had guests over and I was trying to avoid them and we were arguing over shelf space.
15477L,"Being chased around Versailles, escaped out a window, admired the roses and sculptures in the garden, came back inside to find out my great grandmother was the queen and we were having a sit down banquet put out by museum staff, but the only bathrooms were 5 floors down in the basement and after stopping there I went up to an art exhibit in the top 10 levels."
16100L,Was in a role playing AR game and was getting supplied out of lockers before leaving a doctor's office and finding a ticket on my car.
16353L,this guy i used to know came to visit my current house with his girlfriend and then they decided to sleep over and set up a bed in my roommate's sink.
1028L,"I remember meeting two people who both knew my ex-boyfriend from college and happened to be from his town. We were in a trailer home at the end of a curve on a paved road. We talked about how it is a small world, and then noticed that he was driving down that road. We called him over and he came inside the trailer home. I then noticed on social media that another ex-boyfriend recently got a small kitten and named her something like Little or Small."
539L,I had a dream about meeting my significant others coworker and hanging out with her
994L,"I had a dream last night that was like a ""part 2"" of a dream I had earlier this month. Someone had kidnapped my mom in the first one and last night I dream that my sister and I found her"
175L,I dreamed my friend liked me
1061L,I was trapped in a castle like thing and my ex came and hugged me and we had a conversation
470L,don't remember much either than being worried people could see my sleeping position via webcam (work a lot with webcam on)
12662L,"adventuring, feeling comforted that I had my boyfriend to help when I got a ticket for driving a bus into a crowd of people sunbathing on the road (no one got hurt)"
15428L,Confusing dreams!
15737L,"Something complicated - I was at home so I was spending time with my parents, we were working on something..."
16312L,"Was shopping at some major department store and running around with friends, trying things on.."
16710L,Back at school with a mask on...
1076L,"Something like a science fair at my daughter's school, with a lot of students, some kind of mix-up with chaperones"
18094L,A lot of waiting
29L,I was sneaking around my dorm room. I was looking for a dress and a veil. I ended up in an art museum. Then i tried on the dress and veil and got married.
100L,"Don't remember 1st dream.  Last dream: I was at an event with friends (not real-life friends) and my sister and brother in law.   Both my sister and I couldn't eat cause other guest ate everything and didn't leave anything for us (one of the ladies working the buffet tried to help me without success).  Then I met my sister, brother in law and their son and we decided to go out eat something before they had to take the train to go back home. Woke up at that moment."
301L,The only part I remember is going by car to a mall (that looked like a parking building). Once there I decided to eat a dessert at Eataly but there was a huge line (staring at the lowest floor of the parking and going up several floors to Eataly)
526L,"I know that I dreamt but have received a call from a friend at 08:30 and then forgot the content of my dream (it involved being with several people, that's all I remember)"
674L,Walking in the common area of my building and meeting real life friends from my past
14932L,"I was in a house supposed to be my mom's with my mom, sisters, nephew and 2 friends of my younger sister (only one of which I know in real life).  At some moment there were tornadoes forming outside and one of them broke one of the windows (felt interesting, not scary)"
15347L,"Dreamt I was going back to University but it was a different place. In the mansion supposed to be university there were pictures and videos of students I knew, I met some of them walking around there (it was like a 10-year reunion turned into a visit of the expo) but overall was alone all the time."
135L,"I know I dreamed a lot, but the only dream I remember is my son asking me if he could go potty in his pull-up and me saying no and feeling very exasperated."
394L,"In one dream we were looking to a buy a minivan. Unfortunately the only one we could afford was this super big one with a huge bed and ski rack in it. We bought it because we had to, but I was really disgusted because the bed was used.   In the second dream we were redoing our kitchen in a new house. I kept having regrets that we weren't doing more... like expanding the room so we could fit a big island. I was very anxious about all of it."
468L,I dreamt that we had to go to the store for groceries. I had both kids with me. We decided to stop for a treat and everyone was judging me for bringing my kids with me while COVID-19 was going around. Plus the kids kept touching stuff and then eating the treat. I was super stressed out.
825L,I dreamt I was chasing my kids and they kept running away. It was difficult to get them to listen
18103L,I don't remember the details but I know I dreamt about people I was friendly with years ago.
265L,Different dreams of  running or being in danger
18677L,Nightmares about the future as election results were top of mind. I was at a food pantry waiting in line wearing tattered clothes and being alone.
20537L,UGH...Ted Cruz was in my dream/nightmare. I must stop looking at the news before sleep.
180L,Forget.  It was virus related though
581L,"A couple of crazy dreams again. First, I was at a prom/formal dance like I'd attended in my last few weeks at BC, but with all of my high school friends. I must have been younger, because I was helping someone who was under 21 and trying to get them out of trouble from drinking. I also dreamt that I lived in kind of a natural woodland full of elk and cows with a bunch of other folks (some I recognized from college), and we just returned from a trip in a monster truck. I've been watching a lot of TV lately, so not sure if that's part of these crazy dreams."
11994L,"One of my dreams was that I was completing some important tasks in a group and I really had to use the restroom every few minutes, which was interfering with me doing the tasks. Another, I was a student at a high school in the cafeteria and was following a popular girl around."
606L,"Another dream, regarding romantic content in nature. With another person this time, that I interacted with two-days ago. Also, there was a second dream, one with content I was unable to recall upon waking."
830L,"Three separate dreams. Twice before waking up in the middle of the night; once before waking up in the morning.    Dream content was more hazy this time. If recall correctly, the first two dreams concerned something school/work related; something regarding a deadline. The third dream related to friends that I spoke to recently via video call."
8074L,Dream recall is hazy right now. The dream happened closer to waking up this AM. Persons/objects in the dream related to work and professional stuff. Not much else can be recalled about it.
308L,I dreamt about an old friend from high school who I no longer speak to came to hang out with me during work hours. We were in a small office with 7 cubicles. My best friend called to talk about that same friend and I had to get her off the phone so the other wouldn't know. Not much else about the friend being there.  Each cubicle turned into a bed and 3 other co-workers and I slept there. I remember not sleeping well in the dream and my 2 of the co- workers didn't either. The other co-worker slept in an alcove with a sliding door that in the morning opened up to a full office but she was no longer there.     Another dream was that my brother was having a wedding or party in a hotel.  I was alone in a room and a fight broke out- the guys from the fight barged in the room and stole a cooler of ice and beer and some type of grill. I couldn't stop them and they just laughed at me. I was so concerned that my brother would be upset. I told everyone how I was going to make the hotel buy new items for him.
1023L,"I don't recall much besides walking around my hospital and seeing faces- either other co-workers, old friends, or families that I work with."
13195L,I dreamt my sister and friends went to meet the Chicago Bulls team from the 90's. I went too but had to leave for work before meeting them. Then I ran into a coworker that had taken my friends job (once my friend had left) we caught up a bit.
318L,i  was moving out of my college dorm. I had trouble going to the dorm due to ice covered paths. i was struggling up the icy entryway.-
130L,"I had a dream that I was driving around a very small and crowded parking lot and I got a truck. When I went to report it the truck was gone. It appeared to be the lot for a wholesale store. I then went inside and started yelling at people for buying ""fast fashion."""
291L,"I had a dream that my husband was in a car with one of my FB friends who is a Trump supporter and I was walking down the street with Hillary Clinton. We got in the car and he drove us around.    I also dreamt that I was in a version of Bridesmaids the movie, I was there, but not actively participating. The characters all were getting sick."
441L,I had a dream that I was at an old job cleaning out my things. My old coworkers were there. My grandmother who died 10 years ago was also there. I also had a nanny for my child that was being very critical of my parenting.
763L,"I had a dream that I was with a group of people and it was my ""last time with them."" I am not sure who they were. I then began to gather my things from a basement and when I got out, everyone that I knew was gone. I tried to call my parents, but they didn't answer. I then walked through a building that was full of many items, but no people. There were gift shops in fancy offices. I then arrived at my room, where I think I was living in."
392L,"I walked on a road with one of my friends from college and may have met/talked to one or two of my aunts at their house. I then continued walking on the road into the city with that same friend from college, and somehow I walked into this storefront/pharmacy where I had a temporary/day-of job there. I was in charge of medicine/shots for an elderly man with a lot of ailments. I either had to walk upstairs to the ""medicine room"" or downstairs. It was stressful and there was another employee there who helped me, but I'm glad it was over."
6777L,"I dreamt about two people sitting in an office with someone interviewing for/applying for a Ph.D progam. I also dreamt I was in a large school building, maybe like a boarding school."
12023L,I was lying down. Someone else was sitting beside me. A dog had crept up and had the side of my foot in its mouth. I was concerned it might bite. I had a magazine next to me. I threw it in the air. The dog released my foot.
22397L,There was a heavy set lady (unknown to me) who was in dire straits and needed to be held.
22263L,"I had a nightmare (which I awoke from but don't recall) and when I fell back asleep I had a stressful dream about some kind of virtual reality world and it was either a game or contest, but I believe high stakes, and there was 2 bunnies, and the cute fluffiest bunny ended up being evil and I woke up thinking that it was a really weird dream and I was glad to be out of it."
586L,"Two dreams come to mind, the most important was that I was at the start line of a cycling race with a team member and learning that Mathieu van der Poel was starting too.  Everyone races for second at races he competes."
670L,"Most prominent dream on second phase of sleep was family gathering that I was cooking and entertaining all.  Throughout dream, two figures (childhood friends) were attending and play prominent role cooking and entertaining guests.  Both friends were heroin users, of which I know one reached demise too soon.  It was a heartwarming dream..."
917L,"I was cooking for a large family gathering, and two childhood friends appeared to help me cook.  It turned out they were also family, although in real life they are only friends of family."
12193L,Various social settings with family and friends at different times.
485L,"I dreamt that I was hanging out with a friend from BC undergrad (call him K). He was really upset with me because I kept ""bailing out"" on plans and he didn't even think I was going to make it this time, though I did. For some reason my maternal grandmother was there. After the meeting, I was crying because K had called me ""names."" (I don't remember these.) My grandmother turned and said ""Don't worry, I called the police. They will get him."""
292L,I dreamed my friend cheated on her husband with Chris Martin of Cold Play.
918L,"I remembered this morning, but I have since forgotten. It was vivid though."
809L,I was on vacation and stopped by a place I used to work to trout the remodeling they did.
227L,That this survey had questions that were incomprehensible.
11699L,In one dream I was very early pregnant.
15767L,"I was in a house and there was an couple in their 50s. An outgoing, heavy man came up to me and shook my hand, and I was upset that he did so, and didn't seem to know that people were supposed to not shake hands and to stay at a distance.  His wife seemed to understand and tried to explain it to him."
16323L,"I was sitting on a train to NY and got up to move to a different car.  The car was fairly full.  The scene changed to walking along the side of the road, though in my mind I was still on the train.  There was an overweight middle aged man with his young son and another boy about the same age as his son was there.  The father was accusing the other boy of hurting is son and pointing out some minor scratches on his face.  I continued along by realized I had forgotten my purse and suitcase on the train at my previous seat.  Turned back to try to find the train car where I had been sitting but couldn't find it. The train looked like a factory on the outside. I went into some doors hoping it was the right train car, but couldn't find the right place."
16530L,Something about being near people and not having a face mask and looking for a mask.
18614L,"I was at a crowded restaurant. I was standing near the entrance. No one was wearing a mask. At first it seemed normal, and then I became concerned and worried about being near people without masks."
20100L,I was in NYC. I was leaving Penn Station on foot walking through streets that were deserted. The buildings looked closed. I didn't have my suitcase.
630L,I was coached out of my current work and moved into a new company
18723L,"Very vivid dream. It started where I was in a field trying to find a funeral or wedding that was happening nearby. Then, I was at my family's shared vacation home after being at the event briefly and we had set up tables in the yard for all of the people to come from the funeral."
13375L,vivid but whacky
1565L,Hanging out with character from The Bold Type
1097L,I remember being nervous but don't remember the details
12368L,"I dreamed I was in some sort of class with a bunch of people and that my doctor was collecting things from us. I had to keep track of some things. I remember talking to a lot of people but can't remember much about it. Later  in the dream, I was talking to my doctor,  and she said maybe she should make some chocolate cream pie. I was surprised because she never did seem like much of a baker, and she never did seem all that friendly, but suddenly she became very nice. Then she was in a kitchen with a bunch of pie crust and I was asking her if I could help her, but she said no and she was very nice. In real life she 's young with longer dark hair, but in the dream it seems like she looked like a character on The Young and the Restless who also fits that description. I woke up before she got the pies baked because the phone rang."
12812L,"I don't remember the first part, but in the last part a friend was telling me that we were due at the airport in a couple of hours. I asked why and he said vacation. I had totally forgotten. I was trying to throw things in a suitcase and trying to get hold of a cat sitter, total confusion. I was saying that I could never make it in time, he was trying to help me pack, but I would never have had enough if it had been in reality. I woke up because the phone rang."
23142L,"Lots of strange dreams involving trying to find a space to study, running into someone from high school that I haven't thought about in years, seeing alien ships in the sky, having a seizure and getting injected with something into my brain"
662L,nightmares - one about being quarantined in a haunted house. another about being kidnapped and unable to escape.
2353L,Many nightmares that woke me up. One featured the clown from IT walking into my house to come kill me.
323L,"I was in Duluth, MN (but not really Duluth) where my Nana lived, and knew I needed to drive to her house (she might have been alive in the dream, but she died when I was 16). My dad warned me that I would need extra time to get to her house, and somehow instead of using technology to help me get to her house (I don't think I had a phone in the dream; my uncle had bought my Nana's house from his siblings after her death, but ultimately after having moved to France in 2009 and having issues repaying the mortgage, the house was sold to strangers late last year - my dad drove past the house in real life a couple weeks ago) I went to the church my Nana used to attend (it wasn't really her church) as though it would help me get there. I spent time in the church, spoke with the choir (I don't know anyone who currently attends the church), went up to a second or third story level via a narrow side staircase (that I don't believe exists in real life) and ended up I'm a room where there were lots of kids in a room about to watch a movie (maybe for Bible school?). I left that room and it only seemed to be then that I realized that I could find my Nana's house by using the cross streets (even at this point in the dream I couldn't remember how to get there, even though I've driven and been driven to her house as an adult), and I felt better about the fact that I'd be arriving late because I'd gotten lost and stopped at the church (where I don't recall asking anyone for directions). I might have made it to her house, but I'm not sure; if I did, it wasn't really her house. Next I recall being in a store with my mom where they sold keychains that said something like No, Never, Not One More (in English and Not-Spanish that was meant to be Spanish; I last took Spanish when K was 10 and don't speak it). The message was supposed to be about making sure no one else is raped / abused (I was watching Law & Order SVU before bed, and one of the episodes was about a group of Hispanic teenage girls who were raped - two by their father, one by her father figure). A young adult guy had had a similar keychain in the upper movie room with the kids (I think he was a counselor, I don't know who he was, when I first say the keychain I'd thought it was just a cool fashion accessory, I couldn't read it until the store). I woke up, and don't know if ai bought a keychain of my own in the dream."
483L,"I was working with some friends on a work project (we don't actually work together) that involved something about needing additional information. There was something wrong with my friend / dream coworker's car, so her husband (the real life friend in question is unmarried and single) did something to fix it that involved putting what looked like a piece of charcoal wrapped in something metallic in the car, and we needed to drive for about 10 minutes to charge up the car. We went to a nearby elementary school (in real life, I volunteered at a nearby elementary school that closed for at least a few weeks due to COVID-19; also three of my cousins are teachers and the decision was made within the past 24 hours that their districts l will not re-open this school year) where we got the info but didn't end up bringing a chair (that looked just like my kitchen chairs, my real life work from home area is set up at my kitchen table) back with us. When we got back, we were at my kitchen table / work from he station but not really there and something about different makeup face/eyeshadow brushes, some of which looked like they'd been used in something reddish-orange (in a shade I used to have in a lip tint), some in more of a mauve. The electronic medical records summary we'd received for work included an unadmitted psychiatric condition, so we needed to order the full medical records (a real life work guideline). Someone (not me) was wearing a black dress with tiny white polka dots."
753L,"I was with a couple of friends and at one point the mother of one of them joined in in the conversation (I don't recall the subject). Later I spent the night with two friends (one was the same from earlier) who were roommates in this huge house (where neither of them live in real life), a huge place that could've been spooky if not for the presence of friends and the warm, yellow-ish light bulbs. I had packed a lot of things with me (MN just received a stay home order yesterday that's effective Friday), and brought my real-life small terrarium (three small succulents atop a moss, I've had it since last summer, but the succulent closest to the front of the container has increasingly been looking like it's dying vs. just having one or two sections looking like they were dried out, despite me having increased my watering since I've been home more; the moss in real life is more brown than green - my apartment is super dry + though the two succulents at the back of the container have always appeared healthy). My friends were happy to have me stay (move in?) with them, and I think I was still able to go into work. Something happened to the terranium and the moss went from taking yo half of the container to almost the entire thing (not sure if the succulents were still in there) but the moss was now purplish, which my friends and I interpreted as meaning it was all healthy again. We took the terranium with and went swimming with it in the ocean, trying to hold it above the water. My friend accidentally let the terranium go below the surface when she was swimming with the dolphins that had come up to us, and I told the terranium back, but it fell and sank to the bottom. I swam down to the bottom (the water wasn't too deep, likely 8-13ft) to retrieve it. I could see myself swimming underwater to get it,the sun made the greenish-brown water (which was clear and clean, not mucky with seaweed) glow. I think I swam with my eyes open (which I never do because I had contacts from ages 13 to 30 and swam in them). I brought the terranium up towards the surface, it was heavy, and I put it on the dock."
6572L,"I was the leader of a confirmation class (I'm not very religious) except instead of it being a class of 13 to 14-year-olds, they were people from my high school class who were college-age (this year is our 10th anniversary of college graduation). We were in a church that wasn't a church and for some reason they all had to stay there during confirmation. One of them said that they thought the stack of Bibles they needed was in one place, I said it was in another, and I felt a bit smug as I was proved right. There was a litter of puppies (old enough to be a few months past being weaned) where one puppy needed to be assigned to each confirmand, yet for some reason they all stayed in the covered box and weren't given to them yet. I also was working for my old manager and was balancing both my regular work (with a more flexible schedule and fewer hours than I have IRL) and teaching the class. The second day I realized that the puppies hadn't been fed or watered and I was so scared that they would be dead, but I pulled back the blanket and they were alive. I filled one bowel with water for them and another with some food; eventually I added some leftover pasta soup to the food bowl once it was emptied. One of the leftovers I'd set aside for the dogs, wrapped in tinfoil) was rotted - I looked inside the foil briefly and it looked like a decaying, dead bird. I didn't tell anyone about how I could have accidentally killed the puppies through starvation/dehydration, but did assign one to each confirmand. I was a witch like one put of Harry Potter, I was with two of my confirmand friends and we were walking through the busy streets that were in France but not really France and one parade was streaming up one direction and another was streaming down the other direction, and we had to walk through both groups (this felt dangerous for unclear reasons, maybe the groups would attack if we interfered with their movements?) because on the other side of the road was a pâtisserie that I think ai needed to go to to be able to feed the puppies again. We made it across the street and into the packed store - we went through the first room into the second, and made it to the back of the line which somehow also the place where you ordered. I wanted to take a picture of the pastries in the case but wasn't able to, even when I tried from a few angles (this was likely inspired by my phone dying without warning when I went on a walk yesterday was taking pictures, the phone was at 61% battery). It was my turn to order, and one of the confirmand's suddenly had her puppy with her but it was now a full-size dog. I tried ordering in French but the woman in the store didn't understand, she tried to offer me (in not-at-all-French-accented broken English) a large, dark, braided pecan role instead of the small choux pastry with green craquelin (the craquelin wasn't on the pastry yet, even though the Great British Bake Off has taught me that it needs to be placed on top of the dough before its baked). I was sad not to get what I wanted, but the alternative pastry looked ok, so I agreed. I was them the only person near the pâtisserie clerk and she told me something about the Minister of Magic and I had to go on a mission. I walked down a ramp of the store and started talking to a blond British man/wizard who listened to the equivalent of the wizarding BBC radio to be briefed. The minister wasn't listening to briefings though they were available, and was possibly a dark wizard (no doubt this was inspired by Donald Trump) I looked into the large glass window and climbed through it. The blond man and I ended up in one place and we were hoping that with another quick apparition to a third location that we could go back to the first place, but we had to trap something in a sort of expanding purple sleeping bag that could fully zip up. The creature kept expanding and we weren't sure we'd be able to finish closing it in time, but the creature's presence let us know that we were compromised and would need to apparate to more places to hide our tracks before we could return."
