unique_id,sleepdiary_dreamcontent,,
20879L," - I was flying from one destination to another and had some people with me, for whom I was responsible. But on  some reason company changed a flight and gave us tickets for different depature time. I was trying to solve this problem  - I was talking to my husband and he told me that he bought 2 flats",,
24963S, - I was flying somewhere and there were a lot of people around.  - I drove to the forest. It was very nice ride and calm place,,
18909L, - I was giving a dinner to my friends. It was a lot of light and it was summer time. I was taking out crystal glasses  to put them on the table and there was a small girl helping me.  _ We went to a wine and cheese probe with my husband,,
18296L, - I was going to the mountains  - I was fighting with my brother  - I was cleaning a working place,,
20068L," - I was going to work in a public transport, but I did not have any money. And at some point I had to go out and got stuck at the road repariment place.  - I was talking to my friends a lot",,
1901L," - I was in my native city and I was going around it in a sunny nice day. I met my friend there from Germany, but we were both in a hurry and agreed to talk later on  - I was in stables, but mostly communicating to the people. I had a dog in my dream, laying on my knees during that",,
10706L," - I was in some school and supposed to have an English language class. I was late and everybody already introduced himself and a teacher did it for me very fast. When the lesson sterted one guy was behaving himself awfully and I made him a notice of that. But he didn't reacton that. In five minutes lesson ended up because of him, but nobody except me and my husband was angree. in a while I saw my husbads face bleeding. It appeared, he wanted to make this guy understand he was behaving badly, but this guy got protected by a stronger person.  - I was going to the conference. But surprisingly on some reason I was with a supermarket trolley going through some steep curves along the sideway",,
21140L, - I was looking at the newly built building and wanted to buy a flat there  - I met 2 of my friends whom I haven't seen for a very long time,,
16125L, - I was meeting my colleagues at work  - I talked to my brother and we went to the party together with him. It was somewhere in a hotel and one of the celebrities was invited. I was also cycling with a bike,,
20873S, - I was meeting my friends  - I was organizing a conference,,
17326S, - I was meeting my frineds with my husband and talked a lot to them  - we went with my husband to the official dinner with several courses and white table cloths,,
20801S," - I was meeting with my old friends from my home city.  - i was travelling somewhere by train and by car, trying specialities at local restaurants",,
12623L, - I was playing pockemon go and catching a rare one  - I discussed an experiment with my colleagues,,
18485S, - I was presenting at the conference  - I was talking to my friends and we went for a short walk outside and found and apple tree in blossom with some hedgehogs,,
21432S, - I was selling something and arguing about the price for a long time  - I was walking with my friends,,
4250L, - I was talking to my professor about some project  - I was in my home city and went to see theater opened by my friends there. It was a very beautiful old building with nice musical instruments and decorated with old wooden pannels,,
10844S," - I was travelling around the sea city. It was full of old arcitecture and water. Here at one of the markets I wanted to buy ice-cream, but found a store where people were talking my native language  - I took a nice fantastic adventure to some space-hell ship. My husband was able to imitate the Cheaf of the ship and we were able to go around it without any suspect to our figures.  - We went with my husband to a woden house in a forest. The air was very fresh",,
10514S," - I was travelling somewhere to a very green and sunny place with my family  - there was a movie about 2 sides of the moon and a group of people, who were suggesting to destroy moon. I wanted to stop it together with my university friends, but they took all our belongings away from us",,
17734S, - I was travelling to a new city and exploring it. I meet and talked to the people.  - I was our for a walk with a dog and visited my friend who has a baby,,
18600L, - I was travelling with my friends  - I was discussing something with my colleagues,,
7331S," - I was visiting my parents in somebodies else house and talking to them a lot as well as preparing tea, making beds  - I was talking to my husbands  - I was opening and closing windows and talking to somebody else, who tried to do it before me, but unsuccessfully",,
13752S," - I was walking around my native city searching for a certain address. I couldn't find it. There had to be a good cafe, but at the end I found another cool place with wonderful choice of pies.   - I was teaching a small boy (he is a child of glamour cople in Russia) and we were learning figuress. We painted rectangulars and a yellow triangle. Also learning to pronaunce it correct.",,
5771L," - I was walking around new town with some colleagues of mine and had to go somewhere, but then I realized, that my husband went into another direction and started searching for him  - i was brushing my hair",,
13015S," - I was walking around the building and left my bag for a minute. When I turned, I saw a woman taking it with her. I followed her and tried to have my bag back, but she took out the a spray can and a lighter and started making fire. Some friends of mine appeared and we started running through the coridors. It became a big multilevel shopping center and we escaped fire, found the security and informed them of the fire that they started evacuating people.  - I was at the opera house. It was a very nice old building, but unfortunately the scene was planned not very nice and I could see not a lot  - I was going to the airport by car with passangers, but suddenly the road appeared to be covered with water. We went out of the car and decided to swim, but soon we reached a point, where the water was covered with fire and we had to go under the water",,
25871S," - I was watching the same movie many time in a row and really wanted to finish it, but was falling asleep every time after a couple of minutes.  - I went to visit my parents and talk to them",,
949S," - I was with my friends, but had to leave them to ride somewhere to France by horse. It was a fairy tail green very active horse  - I was following big white rabbit through the long coridors of big old building. I ended up first flying to some old ruined fortres, which was not very safe and after that hiding at the ship half under the water  Then we arrived to the port, but all the ship was covered with salmon meat outside  very vivid and positively emotional dreams",,
17872S, - I went to my parents to see them  - I had some meetings with my friends  - I had some sexual arrousal with my husband in a dream,,
11864S," - It was a meeting of pupils graduated from school many years ago. There were different funy stories and a lot of memories coming from the scene. Afterwards there wes dancing time. I suddenly realised, that it was too long and my husband should be waiting for me. But I didn't find him and decided to leave the meeting with my friends and take a tram home  - I was with some people and we found a strange object. When we opened it, which was not easy, it appeared that there are some robots inside.",,
9623S," - meeting my parents in some strange facilities (not familiar to me)  - caring about somebodies child - playing with him and teaching him to draw  - gethering myself and finding my shoes wet. Solving a problem, how to make them dry",,
22062S, - mother setting to do laundry in childhood home  - struggling to ring my lost phone with crappy ones borrowed from aunt ,,
7978L," - my husband was orginizing an event and there was a very long lasting conversation. We ended up arguing about lunch  - I was walking in fields and picking up flowers  - I was in the foresty park im a city. Met a boy with bad manners, but he was intrersted in conversation and we were looking at the moon together. Afterwards he took his bicycle and I helped him to cross a crowded road.",,
20893L," - penguins coming from both side of the road forcing a bus full of cheerleader outfit wearing girls out of it who remove them in the street and walk on to the school nearby  - I don't, I keep it on until I am inside the school because I'm too old and say so to a girl to explain my nonconforming   ",,
5197S," - played big pool in a bar with my friends, but on a very small tble  - had an overnight with my other friends and we were trying on different hats  - I went to a big market with my family",,
4220S," - solving a water quiz  - I attended a wedding of one of my friends. I was preparing a wedding bouquet for her  - visited my friend: it was a lot of snow first, after apples and horses and a lot of travelling",,
8795L," - Somebody had a wedding. Probabely even me. There were a lot of preparations for that and films shooting. We were painting posters for this event.  - We were buying a sandwich for my husband, but instead received pink roses packed in some soft substance",,
21136S, - Talking to colleagues from work  - I went to the forest,,
16090S," - there were some fragments of dreams me doing calculations.  - I was at my parents home and there were a lot of people there, but not them. It was a durty floor and I started wiping it.",,
6780S, - we had a big dinner with one of my old (in age) colleagues and before that I was running around my home city looking for a present for her (I wanted to by a small nice purse for her)  - we were playing airplanes with my husband. the toys were great with moving wings and lasert targetting,,
23780L, -- a police officer who was a friend and I went someplace  --lots of dreams but can't remember them,,
3527L," --There were 4 people readying to commit suicide by driving their cars over the edge of a bridge.  I talked to 1 of them and showed them how they could help children not fluent in English to do their homework. She seemed enthralled with the prospect so I signed her up and another one. The other two I wasn't able to talk to but I did not know what happened to them. I thought, at least I was able to help two.  --A looking for my husband dream. We were at a buffet and got separated. I decided to go ahead and get my dessert. I was in the line and saw cream puffs and many other luscious items so I was trying to decide what I would get. Finally I get to where the plates are, I circle in line around but now all the items are gone. I go to the next table but the offerings are scarce. I found husband sitting at a table but no room so I sat around the corner. There was a road walk/run so J started that thinking I would  run into my husband  along the way. The route went through neighborhoods, into houses and into restaurants. There was one section I had to climb a steep hill. Others helped me. I saw a soft serve ice cream stand and thought surely Mike is there but he wasn't. It was getting dark and we needed to hit the road in order to find lodging for the night. It seems we were traveling.",,
17613S, -broke some of my brother's dishes while house sitting for him - didn't tell him  -sex dream about my spouse but we were interrupted by something loud  coming through the window,,
11238L," -Buying stock accidentally using someone else's card at an ATM  -Going down the staircase of a fancy hotel, but the stairs were too steep so I had to hold on to railing  -On a college campus trying to order food, but there were too many people around me and standing in line close together",,
3490L, -I was caught riding the bus without a ticket. I had forgotten to buy one. In the end I didn't hade to pay the fine though   -I was trying to help my father get on a bus but couldn't find the right platform. I was trying to find the right one on a website but The buttons were too small for my fingers. He kept missing bus after bus because we were in the wrong place   ,,
19382L," -in an elevator going to work. Elevator was crowded, and someone pushed a button that reconfigured the elevator to make it larger. 2 people tried to get into the elevator and two people at the front of the elevator started shutting the door on them and beating the newcomers. I fought my way out of the elevator and decided to walk b/c I couldn't believe how 'crazy people were acting these days' and wanted nothing to do with it.    -Swearing and talking about people before realizing the mic was on my Teams meeting. Horrified and concerned that everyone had heard my rants.",,
24996S," -Moved back into my old college dorm  -Everyone was wearing masks   -Saw old friends I haven't talked to in a while  -Hugged one of my best friends and started to cry  -Went to use the restroom but there were no private stalls, all bathrooms and showers were out in the open   -Left to go camping with new friends and left my old friends behind   -Woke up with a feeling of longing/missing my best friend",,
8326S, -Same unfamiliar house I've been seeing in my dreams when I remember them  -Left alone after an impromptu wedding to clean up and fend for myself...some weird work acquaintances made appearances,,
3659S," -There was a dream I was at a non-uniform wearing military school. Perhaps it started with a welcome lecture for the school. At any rate, the man in charge announced we were all expected to take a D-Class. (There may have been a different name for it, I forget now, D-something.) I thought the D stood for Defense. However, as the teacher/headmaster talked about it I learned it stood for Divine Inspiration. Classes to bring out people's unexpressed natural talents. One example of a D-Class he provided was learning to sing like Michael Bublé, and he gestured to the side and there was Michael Buble. I don't sing, so I wasn't gong to take Michael Buble's class.  In the next scene that teacher/headmaster person was helping me with my D-Class activity. It was a bit similar to aerial acrobatics. There was fabric or a rope or something that I was leaning my body weight against and which the teacher, who was in the center of the room, was holding. This leaning enabled me to propel myself to slowly spin around the room - but I was airborne. The teacher had said something about ""dancing with your hands"" - to be expressive with the hands, for example, as you see in Hula dancing. So I was leaning out, with my arm outstretched -similar to God in Michaelangelo's The Creation of Adam painting- and just barely trilling my finger against... I'm not sure what it was, it was not a wall but it did encircle the space, it had a quality similar to the surface of a calm silvery lake, but it was thin and wispy and see-through, like the way some movies indicate the presence of magic. I was wearing a chiffon dress which was blowing up above my pelvis, but that was a non-issue, even though the space below was filled with men from this military school.    -The next scene had a bunch of people in a different room. It was a large room, and people were dressed up; it was some kind of costume party. When I went in with another person, I noticed there was a large fire extinguisher which was spraying fog into the air. It was next to a person dressed in a Baroque outfit, and did not look like real-life fire extinguishers. There were so many strange props and decorations and whatnot that no one in the room had noticed. The substance being emitted was toxic, like CO2, so the people were oblivious until they began to pass out. We tried to get as many people out through the door from which we came. The door that lead to the vestibule / connected to the rest of the building. At the far side of the room the windows continued down lower than the floor and there was a sunken rectangular space in front of each of these windows which were spaced evenly along this wall, which curved in an arch, instead of 3 straight walls at right angles. Anyway, the people closest to the curved wall, who were furthest from the door where we'd been telling people to evacuate, had passed out and fallen into the sunken spaces in front of these windows. It was not possible to pull them out. But then someone, it may have been me, noticed the windows were hinged at the top and opened like a flap - like a doggy door. So we went down, and through the flap window and evacuated the unconscious people along with us. Some of the rescuers were big people who couldn't fit down into the sunken space or through the flap windows, and they couldn't believe that I or anyone else could fit. They stood up on the regular floor saying unhelpful comments along the lines of ""it's not possible"" and ""it can't be done.""    -Next scene: My best friend and I are the main characters. We are fleeing.  (When I first got up I remembered how this started but now I forget.) After a certain amount of trying to get away from the people who are after us, we did something which caused a ruckus in the other side of a large building, and as ""they,"" whoever ""they"" were, entered the building in the direction of the ruckus, we exited the other side of the building unnoticed. At one point I had to check my friend's blood sugar; it was very difficult to prick her finger and get the blood on the strip - I think we were scaling a wall or climbing over something. At one point another man who noticed we were carrying some items offered my friend a maroon leather satchel. She took it, and it was much easier to carry a satchel over her shoulder than individual items in our hands, but then it occurred to me he may be on ""their"" side and the satchel could have a tracking device in it to tell ""them"" where we were. (I don't remember what we did about the satchel.) Toward the end we were fleeing down a hard ape terraced hillside that lead down to a lowland water area. People lived down there on the water. One area was for farming, another area was for parking their long tail boats -think floating markets of Thailand, but the boats were empty and no people were around. It would have been easy to take one of the boats and go in the direction where the water got wider away from the people 's point of access to the water, but the boats were brightly colored. Even at a distance ""they"" would be able to see us in a magenta or teal colored boat. The other option was the build our own. There were wide strips of Eucalytus bark which could have been used, but this would have been much more difficult.  Then there was a scene with some locals  at a ""boat stop"" - like a bus stop for long boats. (I forget what happened.)    -Next scene: We are on land in the country. There were two type of domesticated herd animals. Buffalo was one, I forget the other. ""They"" have our animals.  We are trying to save them. At one point we caught up. They had to slow down to climb over a tall split rail fence.  Something about if ""they"" knew we rescued some of our animals, ""they"" would kill the baby animals, which they still had. So we tracked them, and the wise guide with us said our only chance was to get them on the pass over the mountains. So we climbed the mountain. Somewhere high in the mountains, in a large ravene was a giant holographic bust of Jafar from Aladdin (and whatever he said must have been scary as hell because it woke me up.)",,
10359L," (1) A man was trying to convince me that when I spoke my words were ""dead"" once they left my mouth; he was trying to make me silent.    (2) I was coming back from someplace and I was walking in a place like Cambridge MA and I went into a coffee shop where I had been before where I was talking to this friend and she had blonde hair, she was very nice, she was a good friend, and I had to leave for a while for some reason and I came back and I was going to rejoin my friend and on my way to her table I passed by this young man sitting at a table and he was looking at me I noticed and he said ""Rachel?"" and I said ""yes"" and then we started talking and he was talking and talking and we had a long long interesting talk,  it was so much fun and I was thinking I wonder if I should go join my friend, she must be waiting for me, or if we should go together to join my friend, the one that I had left earlier intending to re-join, but I was talking and talking and talking and there was never a chance for a break in the conversation to say ""let's go  join my friend"" and so we were talking about all kinds of things and he gave me a really thick delicious chocolatey drink that he had gotten there at this coffee shop which was very busy and full of people, we talked for a long time and I was thinking ""I wonder if he's attracted to me, he looks nice"" and I thought ""that's silly, he's too young"" but he's very nice it doesn't matter, I really like him, he's so interesting, and then as we were talking we got up to leave and my friend that I had left earlier came walking around the corner and she was rather tall with blond hair and she came around the corner and we said ""oh hi, oh there you are"" and then she said referring to the young man I was talking to ""oh I'm so glad he found you, I told him to look for you"" and so then I realized that they knew each other and she had told him about me and I was a little confused about why we didn't all sit together; they were saying ""oh I told you Rachel is nice, isn't she great, she's so wonderful"" and I thought ""oh maybe I am a wonderful person and I am pretty great and I have all these interesting characteristics; hey, I think I'm a pretty nice and good and interesting person"" and then I think we all left.",,
