text,nightmare
"I was in one of my friend's houses. I have never been to her house but it started out being in the living room. Me and my friends were playing a game of Roblox at a party. I remember leaving the family room to go upstairs and grab some of my stuff because I was spending the night there. The staircase was mechanically controlled, and I could choose if I wanted to go down the stairs or up the stairs. I chose to go up because that is where my stuff was. I entered the room and was gathering some things when another friend approached me. She asked if I was able to have lunch with them tomorrow and I told her no because I was meeting other friends (this was something that did happen earlier in the day in real life). She follows up asking a question. ""Are we friends?"" At this point, she is standing very close to me. I start to say ""Yes, but..."" and she took a step back. I tried to explain to her that boundaries were something that we needed to discuss between our friendship, and she was really offended by that. She then went around the room (same bedroom upstairs) telling people who had just appeared that I was not a good person. I decided it was time for me to leave the house so I gathered my things, walked down the stairs, and went into the living room. I remember when I entered the living room I reached under the couch that was against the wall and grabbed a box of donuts that I had stashed there earlier. On that same couch, one of my friends was making out with a guy that she had met through one of her classes and has started talking to him. I left the house, which was at the end of a cul-de-sac. By this time, it was night and the house next door was having a pool party for a bunch of little kids. As I was walking to my car, I remember seeing some kids run into the backyard with some floatation devices and a group of kids (2 boys 2 girls) came up to me as I was getting into my car and asked me if I was a basketball player. I told them no in a polite manner but told them I could tach them someday how to play. I got in my car, drove away up the road because the house was at the bottom of the hill on a cul-de-sac and drove back to my house. I drove and drove until I hit a stoplight. This is where I woke up.",0
It was scary,1
It was mostly first person perspective. It had the same aura as a nightmare but wasn't necessarily scary. If I had to pick a color to describe it was like a rich dark red. There was a kind of grainy filter and I remember there being rain. I was on some kind of outdoor deck/porch surrounded by trees. The dream didn't wake me up per say but happened to end in time with the sounds of my alarm. I remember the closer it got to the end of the dream wind started to pick up and rain became more intense and there was also a very faint red light that started glowing in the distance.,0
"I was traveling with my ex (my gf at the time), and we were driving across European countryside. It was a long drive, and we were driving through lush green valleys too, but small towns as well. The weather was damp (like Scotland), the vibes were like scotland. We stopped in a small town at this weird building that was like an old inn, but there was no one inside. It seemed like it was too late so the owners of the inn where in the cottage next to the inn. There was a bar inside the inn, but there was barely any light in. I am not sure if it was my sister/gf/mom who did but they went to the bathroom which happened to be right next to the bar table. Somehow, we rested and its almost morning, so we are about to leave and we just get in the car, and the owners(i am guessing), come out of the cottage and see and get angry, but by that time we leave in a rush. Note that, somewhere along this, the number of people increase from just my gf to my mom, sister, and my older brother i think? 
So we leave in the car and try to continue our journey and escape that small town. On the way out of the town, i see a weird man/farmer on the side of the road waiting and just smiling while i drive past him. We drive the rest of the day and then reach this house that we think is a good point to stop. We go upstairs and there's a courtyard that we check out. But suddenly there's a shooter on the neighbours roof trying to shoot us. We all crouch down, but my mom does not. She gets mad at me and disapproves of my decisions, and almost get shot, but my gf pushes my mom so she falls down and gets saved from the shot. (My mother does not approve of me dating a white woman - my gf is white and she cares about my mom which maybe the reason i noticed that in my dream)
We try to leave the house, but as we go back into the living room from the courtyard, there is a baby in a cradle in the middle of the room. Its almost that assasin came and put the baby just to freak us out. We realize that there are people in the house, so we leave immediately, but there is that constant threat. Because I am not supposed to be there. People are after me, and that is why they are trying to hurt people around me as well. 
To me in the dream, I am constantly trying to just make it to some scandinavian country. TO escape to the edge of the world.
My point of view throughout the dream was mostly from an observer point, except when we were at the courtyard.
During the dream, i realized it was an important dream, so i started saving and encoding those incident through categorizing, or using other familiar examples to save them.",0
"I was with my family at my grandparents house in Puerto Rico, in the dream I had a child and I felt that I had to protect him all the time because I loved him more than anything. It was Christmas eve and we were all eating and talking about life and stories. I remember my aunties talking on my back saying that I was too young to have a kid and they never expected me to have one. This dream was very meaningful because I don’t have kids neither I’m pregnant, so I felt like a mom. In the dream I was an actor, and when I woke up from that dream I felt very empty inside and sad.",0
"In my dream, I was inside a house. I had never seen this house before and didn't know who it belonged to but there were a few other people inside the house too. One girl, was a girl I went to high school with that I do not particularly like. The other people, I have no relationship to in my real life. One of the other people in the house told me that someone in the backyard was breaking into the car. I ran outside to see a man hunched over the backseat of my car, he had out something in the car. When he came out, he didn't look quite normal. He looked like he was uncanny valley. There is a trend on TikTok right now, where people make themselves look uncanny valley, which I had been seeing all over my phone. He did not say anything, just walked away from the car. Once he had left, I went to look into the car. I saw a box and opened it to find off brand girl scout cookies. In real life, my mom had just sent me girl scout cookies from home. Everyone in the house told me not to eat them and then I woke up.",0
"My dream was about World War 2 and the Holocaust. My family has been in hiding waiting for the war to end. The war wasn't coming close to an end and so my family decided it was safer for us to hide in a forest and escape to a different country where they were accepting Jews. The majority of the dream was in a dark forest in Poland. The forest was wet and muddy due to rainfall and storms, the air felt heavy and it smelled like nature. I heard gunshots, people yelling, screaming, and blaring sirens in the forest. Some People and families had the same idea of hiding and running away through the forest in order to be free from antisemitism. There were different days in the dream, and each day there were fewer and fewer people I saw in the woods because they had either been captured and sent to the concentration camps or were shot and killed in the forest and left there to rot. I had to be careful of where I stepped because I couldn't and didn't want to make a lot of sound in the event that the nazis and guards were right behind me. I remember being out of breath and sweaty most likely because in my dream I was running but also it was anxiety-provoking. I kept waking up hoping that if I woke up it will disturb the dream and I could go back to sleep and dream a new dream, but that wasn't the case. I picked right back up where I left off in my dream. This dream was repeating itself; run and hide, run and hide. At some point in the dream, I tripped over a big log as I was running away from the nazis because they were right behind me. I fell face-first into the mud, and when I raised my head up, I saw a nazi standing over me with a gun pointed at me. My back was propped up on the log and I was shot in the chest. My eyes rolled back and then I woke up. I closed my eyes again and I went back into the part where I left off. Even though I was shot in the chest I still was alive.",0
I had a dream recently about working in my old high school job at crumbl cookies. In the dream I am sitting in the back of the store sitting on a stack of boxes watching my coworker's work. Then my manager came back and asked me why I wasn't working. I told her I wasn't working because this is not real and I'm dreaming; then I woke up.,0
"My dream was about getting in argument with one of my close friends. It felt scary since she acted very differently from usual. My point of view did not change, it was from 1st point of view. That's everything what I remember.",0
I was walking in a park in my hometown. I felt happy. I was third person throughout the whole time. I felt excited and wished I was there in person.,0
"I was running through my house, trying to escape those zombies seen in Until Dawn. I went upstairs and out the back door, which leads into my garage. Ran out the garage door, and once I was outside, it sounded like my ears were ringing and I felt cold. I was still scared, so I started running down the gravel road by my house. It was night, and I saw a pair of eyes glowing down the road. I tried to turn around to run the other way, but the first one I had been running from was right behind me. At this point I woke up. I was an actor for most of this dream, except for when I saw the second pair of eyes and turned around. During that point I was an observer.",1
I had a dream that my oldest and younger brother were arguing in my grandmother's hallway. I am very close with both of them so this was very frustrating. Then my older brother was so mean that he made my younger brother cry. So I went up to my older brother and shoved him. He then fell over and had a heart attack. I was then crying and cradling him. This was really scary because I am the closest to my older brother even though he is mean to a lot of people. I have also always been so scared of him passing away because he has a rare heart condition that caused him to be in and out of the hospital as a child.,1
I was going snowboarding and saw these group of dogs who didn’t have an owner and I decided to take them in and become the owner of the dogs. They slept on my bed every night and loved on me everyday. They made me feel happy and loved and when I woke up they were all gone,0
"I was in hawaii, because I was in college there. I was just coming back from winter break, however, there was a flood that caused a lot of stores there to be flooded and school was cancelled. I remember going into a store and the lady there was telling us we couldn't go into a specific area because it was still flooded and to be careful at the beach because of the flood. It was also kind of dreary there at the time of the dream. I kept complaining how bored I was.",0
"I had a dream that I missed the 43 bus at Daisy Hill, I was upset because I was right there, yet I missed it",0
From what I remember I was in my house and both of my parents were sitting at our dining room table. I was little and our little white shih-tzu dog was sitting on the floor. All of a sudden my mom screams that we won the lottery. I remember feeling so happy and excited that we won the lottery. We immediately started planning everything we were going to do with the money. Then I remember we went to this tropical island all to ourselves and we were on the beach playing in the ocean. I remember that I felt super relaxed and like I was in paradise. Then that's all I can remember from that dream.,0
I had a dream a bunch of flies were flying around my room and landing on me. I know I felt scared and stressed out. My pov stayed the same it was from my point of view.,0
"I dreamt that I was out shopping with my paternal grandmother, my elder sister, and my mother. We left one store and entered another, however, somehow, a wad of cash from the previous store ended up in my grandmothers purse. This was completely on accident as when we discovered the money, my grandmother was distraught and in tears. The shop owner of the current shop we were in believed my grandmother could have stolen the money from the previous shop so he insisted on searching her. While my mother and I were comforting my grandmother, the wad of cash that was taken from my grandmothers purse and left on the counter went missing. I immediately knew it was my elder sister who stole the money and I accused her of so. It became an all out screaming battle as I told my mother I knew my elder sister was using drugs and thats why she stole the money. It was very angry and tense. I then woke up.",1
I had a dream that I went to visit my best friend in her college which is in Illinois. I drove to her school and when I got out of my car we went to her dorm and hung out.,0
"My most recent dream I remember was when I was inside a glass room in a glass house in just my underwear. My perspective kept on switching between my first person view and third view. The glass house had no doors beside the one when entering the house, which was made of a material that isn't glass, maybe wood. Inside the room I was in, there was bed and TV and I was smoking a cigarette. The TV was playing ""Bill Nye the Science Guy"" but the topic he was teaching was different. In my dream, it portrayed Bill Nye as an infamous hacker that was wanted by the government, it didn't directly show it on the TV but for some reason that was my common sense within the dream. Anyways, in the episode he was teaching students on how to kill people and how to create a bomb. When I was watching the show, I felt like I sucked into the show. My point of view when I was sucked in felt like I was a viewer but it felt close enough that I was there, it's kind of hard to explain. After watching Bill Nye demonstrate how to incapacitate a person, I was back at the glass house (Again in first person). After that I felt unexplainable urge to leave and so I ran out of the house in the dark only to stumble upon a random door, it then switched to the third person perspective (I don't remember if it was the door that belonged to the glass house or a different door). I tried getting in but couldn't so I smoked another cigarette and then I woke up. This one was so weird that I can vividly remember it.",0
"The dream began with my mom sitting in a chair in a sterile room. She is a woman in her high fifties with blonde hair and brown eyes. The environment smells like a hospital would with blank, white walls. Nothing else is in the room besides my mom in the chair and the observer (me) sitting in a chair across from her. I begin talking to her about some medical condition, but I can't remember what it was just that it made me upset and sad to have the conversation. Throughout the entire conversation her face remained still with no emotion. This was the entirety of the dream until I woke up.",0
"I had a dream about more content for a video game coming out, but I could not play due to being away from home since I was at college. I consequently deleted all forms of social media to avoid spoilers.",0
"I was at my apartment with my boyfriend and my roommate sent me a Snapchat at 11 pm. I thought it was really weird because she is always in bed and asleep before then. I talked to my boyfriend about how it was weird, and he agreed. Then I walked out of my room and looked in her room and she was gone and her bed was made. So when I saw she was gone I opened her Snapchat and saw that in the background she was at an apartment I had never seen before. I got worried and asked her where she was and then I woke up from my dream. I remember laying in my bed in the dream and feeling warm and when I got up (in my dream) I felt worried. I also remember my roommate's bed being perfectly made like she makes it every morning so it felt really realistic. I mainly felt confused and worried throughout my dream. When I first talked to my boyfriend in my dream I remember laughing and the feeling of comedy and joy until I figured out my roommate was gone.",0
"I was an actor in the dream. My family was in it, mom, dad, and sister. We were all in some sort of cave, and it was dark. Then a group of boys came out of nowhere and were hanging out with us, playing games with me and my sister, and acting as though they were trying to impress my parents. One of the boy's parents was there, and I talked to them about their son. That is all I remember. I felt joy playing games and excitement being around this group of people.",0
"I had a dream that I had woken up past the time of my alarm which was originally set to 8 am and I woke up at 5:32 pm. I had ended up waking up around 8:30 and thought I had missed my class but I had not. I was in my bed and check the time on my phone, both in my dream and when I woke up. I felt anxious that I had overslept but I also felt relief when I realized it was a dream. I was in first person view and it stayed the same throughout the dream. The dream was short so I only saw a first perspective of what I see in the morning which is my bed covers and my phone (my room around me).",0
"It started with me rushing GPhi at Kstate (i don't think there is a gphi there) but event though I was already initiated I still had to ""pay my dues"". It was a football game day but there was also a social that same night. one of my friends from UNL was there suposidly dating one of the football players and we all signed a football with our predictions for the end score of the game. After that I had to ask to go to the social and they said no but and I remember feeling so embarrassed and ignored, and defeated. But then my friend from UNL said we could go to her friends bday party (this was strange because she like does not drink at all) and we get to the party and are having a good time then there are girls from GPHI at UNL there that I found out before I transferred they were spreading rumors about me. I was scared and mad because I didn't want the people at my new school to believe I was this horrible person that the false rumors made me out to be. So when the main girl Abby confronted me at to why I was at 'her' friend's party, I simply said I was with some new friends. She then proceeded to get the rest of her group from UNL to come and bombard me with horrible things and threats if I didn't leave so I ran away crying. My friends meet me in the bathroom and tell me that the UNL girls can't ruin my night. So I come out of the bathroom with confidence and tell the girls to back off and leave me alone. To which Abby pouts off and goes and finds the guy whose bday it is and pouts to him and tells him all these fake things about me till he comes over and tells me I need to leave. I'm shocked, hurt, and embarrassed all over again-- how is this girl still ruining my life? Then I woke up with tears on my face.",1
"The dream is fragmented, but I was driving a car inside of a building. I was trying to find a way to get it outside because I knew I wasn't supposed to be driving inside. At one point I had to drive it down a short flight of stairs and was concerned that it would damage the bumper. 

The next segment, I was again driving; however, I was traveling south on Hwy 1 in California, I was north of Waddell Creek near Ano Nuevo State Park. It seemed like the dream was on repeat because I would make it past an area of the highway that is set between a steep cliff drop off and a cliff wall that is notorious for landslides. I wasn't concerned about a landslide; rather, I was concerned that the ocean kept rising and the waves were reaching the highway. High tide was coming, and the water was threatening to cover the road entirely. Each time I would make it past the stretch of road, I would turn around and drive it again. It seemed odd that I wasn't scared driving north on the highway, only on the drive south. The last trip south, the tide came up to the road and started to pull the car out to sea. I had someone with me (I'm not sure who, but I think it was my son), and I kept trying to find traction with the wheels. I woke up at that point, but I can remember feeling the wave like motion and I wasn't concerned about myself, but I had utter terror that the person with me was about to die.",1
"I was in some type of bar... somewhere I have never been. There were a lot of people there and I knew most of them, but wasn't super close with a lot of them anymore. Most of them were people I used to be close with, but don't talk to as much anymore. I am having the best time ever getting to catch up with all my old good friends... all of a sudden like 5-8 people dressed in all black with big guns come down from the ceilings and start shooting at everyone. Me and my old best guy friend dive down behind the bar and see a lot of the people we know get shot. All of a sudden my bestfriend (who I hadn't seen in this dream yet) gets shot, so I run out to try to save her. The guy that was behind the bar with me comes out too and then I look up and one of the shooters is pointing the gun at all of us. The shooter pulls the trigger and I wake up.",1
"The last dream I had that I can remember fully is a dream I had about going to a party. I was in a house that was two stories tall and had a balcony on the second floor. I was myself but I also felt younger, like I was a senior in high school again. I had my original brown hair color with a black crop top and jeans. I felt happy and drunk and out of breath from dancing. The music was loud and were basic party songs like Kesha. I was drinking a lot, it tasted like some kind of vodka drink and I was dancing everywhere. I then went upstairs and started making out with my girlfriend in a room with my old friends. We then passed around a joint and smoked. I then laid down on a bed and watched the ceiling spin as I smiled. That was then the end of my dream.",0
It was a night after a basketball game and a had a dream that Patrick Cassidy picked me up for dinner. Thats about all I remember,0
"In spring 2023, I went to Cancun, Mexico for my senior spring break trip. In my dream I was reliving my experiences with my friends but more people were added in.",0
"In this dream I was the actor and I was myself, but the environment changed frequently. I remember distinctly not having clothes on but sometimes having a towel on (not sure where it came from) but I felt embarrassed because a lot of my college and hometown friends were there and could see me naked, but I didn't want to be seen that way. However, they were acting completely normal and like nothing was wrong with me, but I still felt very self conscious. The environment I remember most was being in a rundown part of a city while it was gloomy and raining and everything had a slate grey/green glow. In that part of the dream, I had a towel to cover myself partially with but I don't remember my goal in being there. I only remember looking around in the sewer drains in the street and at the dark buildings, following the crowd of my friends, and trying to keep the towel around me situated so I was covered up. I know I was in other places as well, with a very similar plot, but I do not remember these places well enough to describe them in great detail. I only remember that at least one of them had a lighter environment where it was not raining.",0
"In my dream, I was sleeping in my dorm bunk bed and I was the actor. I heard someone open my bedroom door and I sat up and looked over and I saw a dark shadowed figure. I don't know who it was, but I felt like I knew them and they just stood by my bed. I screamed got out of my room, and quickly jumped down and off my ladder to my bed. I swung open my bedroom door and slammed it behind me. I ran into my main room and frantically opened the door and shut it behind me. I started to run down the hallway, because I felt like whoever it was, was going to follow me and that scared me. In the middle of the hallway, I turned and ran into the communal bathroom and hid in the furthest stall from the door. I sat on the toilet set and put my feet up against the door, in case the person walked into the bathroom. I felt an intense sense of fear, but I didn't know why and that's when I realized I was wide awake. I walked awkwardly back to my room but I was still scared of someone or something but I didn't know what it was. When I went into my room no one was there, and I felt crazy. I had to calm myself down and then eventually went back to sleep.",1
"It starts in a library on KU's campus (watson) that looks exactly the same as usual except it's the size of a small airport. I'm walking down the halls with my boyfriend and suddenly my backpack disappears. I tell him I need to go look for it and I walk across the library (which takes a long time because it's so big) and I start to feel really anxious because no matter how fast I try and walk it feels like im walking through thick snow, and suddenly all i can see is rows of the same white door with a gold handle. Every door opens into the same bedroom (small twin bed, picture frames on the walls, white comforter) and there's a blonde, college age man standing in the bedroom. He tells me to lay down and close my eyes and if I don't he'll hurt me, so I start running away back the way I came and he starts chasing me. I wake up before I can run out of the library but I've had this dream every night in a row for a week.",1
"In my dream, I was disliked by my boyfriend's parents. My dream felt so real that I was still sad after I woke up. I remember saying goodbye to their dog while being pushed out the door.",0
"This dream was from a few days ago, and it was in an amalgamation of the University of Kansas campus, the play place jungle gyms in McDonald's, and the Five Nights at Freddy's: Security Breach location all scrambled together. There was also some underground tunnels from this reoccurring location in my dreams: an older looking hospital type moment. It was in the first person, and I was myself. My friend Natalie was there and some of the people who live on her floor as well, in addition to a few of my other friends as well. In total, it was me, Natalie, Julia, Lydia, Spencer, and though he was not there, Sebastian was referenced by name. It was mostly dark and cold, and Julia would not stop crying; Sebastian just dumped her. We were running away from something, winding around buildings and alleys before we came across this building everyone thought would be a good place to hide. I was scared because it didn't feel right to me, but everyone ran in, so I followed behind. We stopped a couple times to talk and strategize, but it was all very frantic and not very well planned. Julia was still crying and sad, and I wanted to comfort her very badly and make her feel better. I wanted to hug her and hold her until she could breathe. And then we had to start running again because if we didn't something bad would happen. I didn't know what it was, though. We ran down some stairs and through some rooms that were only lit with emergency-lights. We got to a ground floor, where we ran down the hall to a garage/loading dock area. To the left there was a old rusted ladder that went down a few flights. One by one the group began filing down, as fast as possible. I brought up the rear, and the ladder broke while I was climbing on it. I fell on the ground and was stuck up in the ladder, and everyone ran through the underground sewer-like pipe tunnels and left me behind. I looked up to the loading dock where we just climbed down from and saw the things that were chasing us. they jumped down from where we just were and grabbed me- presumably to kill me- but that part was where I woke up.",0
"I was in the NBA which is a professional league for basketball players and I ended up winning mvp ""most valuable player"" which made me feel really good.",0
"I was riding a skateboard down my neighborhood road by a pond at sunset, then I got off the skateboard and went down to the pond water. A person was down there flying a kite. I got close to the water and was looking into it and then a snapping turtle jumped out and started chasing me. I ran away and the turtle couldn't keep up, so I walked home.",0
"I was with a group of my friends and we we're hanging out. Just having fun partying and enjoying each others company. This was like the first time we had met in awhile. I was all grown up and a sucessful business owner. My friend Moe was a physical therapist, which he's wanted to be his whole life. My two other friends were blue-collar workers. We talked for hours and had fun. Then joe ends up bringng back a bad memory of when I used to be addicted to gambling. He claimed I owed him millions, I started to laugh it off cause I was like your lying. But, then he started to be serious and be like Ill come after you and ill get that money. Then I started worrying because he'd never been like this. I started to get worried because he was going to expose me. Then it ended there",1
"A dream I had a few months ago was unforgettable. In my dream, I woke up from my bed but I couldn't move.  My body was completely numb and all I could do was hear, and move my eyes.  I hear a man screaming at me, inaudible noises. and then out of my peripheral vision, I see my mom and sister in the corner of the room whispering.  I couldn't move my mouth and I was trying to scream to wake up, or gather their attention.  I was horrified.  I couldn't make out what the man was saying and I was fully aware I was dreaming. I was terrified I wouldn't be able to wake up. I thought that if I wiggled my toes I could wake up and so I attempted to try to move my feet and I bolted up and awoke.",1
My family and I were staying at a resort in Florida. The rooms were private and had a balcony and outside area that connected to the ocean/swamp by the resort. I woke up from bed and my brothers and I went outside. It was dark and one of my brothers was playing the water. All of a sudden an alligator bit him and dragged him down to the bottom. I screamed and my dad came running outside to save him. Then hundreds of alligators showed up and started swimming to the door. I ran inside and that's when I woke up.,0
"The guy that I like gave me his white essentials hoodie when we were eating dinner outside with our families on a set of those like wire outdoor furniture and all the bowls were fancy white china. I went upstairs to my childhood bedroom and changed and asked if he wanted it back and he said no, to keep it. It was very vivid and felt real when I woke up.",0
"A recent dream I had- 
I was trapped in a haunted house with people i felt like i knew but didnt know and i was trying to get me and 2 other little boys out as were being chased. Once we ran out I got yelled at saying ""you cannot leave without identification"" as the person i called in my dream to pick me up said the same thing. I woke up right after that was said.",1
"I was looking into a kitchen that belongs to a friend I haven't spoken to in a long time.  It's a dim lit kitchen with warm hues and it was night time.  I was peering in from the door that leads to the backyard.  I saw one of my current coworkers and best friend at the sink, I don't remember what he was doing but he was wearing his normal work clothes and was looking at the sink.  I could hear people in the living room and behind me in the backyard.  I saw that my friend was crying at the sink so I walked up to him cautiously because I know he doesn't like too much attention to his emotions and he doesn't like touch very much.  I went up to him and lightly touched his back and I remember asking him if he needed a hug and he turned to hug me.  He was still crying and I reached to embrace him and I felt wet all of a sudden.  He had turned into water and I was drenched in water.  I remember panicking and turning around frantically to see where he was and what had happened.  I was crying and hyperventilating but couldn't move.  I woke up drenched in sweat and crying.",0
"I was at my grandparents house but the side of the house where a wall should have been was open kind of like a doll house. They live in a two story farm house on a couple of acres so think large yard. The sky was orange like when a storm is happening during the day and a tornado warning was issued. I had several family members there, my aunt looked normal as well as everyone else. The only thing that freaked me out in the dream was michael myers. He was literally chasing me but not running, i could keep a good pace and we wouldnt catch me. I wasnt scared in the dream it just freaked me out a bit and was just like annoying to me, then i went into the front yard right while he was a distance away and woke myself up, like i told myself i was done.",0
"All I remember from the dream was being stressed about my exam for chemistry the next day, and I was freaking out if I was going to be late or not. I was in my dorm room and thought I had plenty of time to get ready but missed both my exam and the class after. I was very panicked and I woke up and told my boyfriend and then proceeded to wake up every hour because I was scared of missing the exam in real life.",1
"The setting was my dorm room, and I was laying in my bed in the same pose as I do while asleep with my eyes half open. I suspect I was between a dream and being awake, but I'm not sure. There was a centaur in the middle of my room, and upon me looking at it it moved to sit on top of me. We said something, it started to touch me a lot, then I got flustered and woke up.",0
"I was in a parking garage and couldn't find my mom's van that she let me drive for the day. I kept running into family members who wanted to talk, but I was distracted thinking of the van and where it could be. Was also on the phone with my mother. Soon after, my dog, Daisy, bit my grandma twice. I felt scared and didn't know what to do. I tried to bring my grandma to get help and looked over the edge of the building on the way to see a bad car crash, with countless people lying on the street. I woke up lying on my back, scared.",1
